23C,,10C,
X,Y,X,Y
0.20924574209245783,2.0776699029126213,-0.0048661800486615725,0.03236245954692585
0.6180048661800486,3.398058252427184,0.1508515815085163,1.2233009708737868
1.5133819951338197,5.055016181229774,0.4038929440389296,1.766990291262136
3.031630170316302,6.970873786407767,0.7347931873479316,2.3365695792880263
5.0559610705596105,8.757281553398059,1.221411192214112,2.983818770226536
6.9440389294403895,10,1.7080291970802914,3.6310679611650487
4.024330900243309,7.9288025889967635,2.3114355231143557,4.355987055016182
2.1557177615571783,6.0129449838187705,2.661800486618006,4.614886731391586
1.0267639902676402,4.25242718446602,3.128953771289538,4.977346278317152
0.014598540145985606,0.1359223300970882,3.790754257907543,5.598705501618123
0.4038929440389296,2.750809061488672,4.374695863746958,6.064724919093851
3.45985401459854,7.411003236245955,4.9391727493917275,6.427184466019417
6.0486618004866175,9.404530744336569,5.562043795620437,6.841423948220064
4.5109489051094895,8.31715210355987,6.165450121654501,7.2038834951456305
5.581508515815085,9.067961165048544,6.671532846715329,7.514563106796116
,,7.274939172749391,7.773462783171521
,,7.800486618004865,8.032362459546926
,,8.559610705596107,8.394822006472491
,,9.143552311435524,8.524271844660195
,,9.571776155717764,8.601941747572816
