# atmos -ih --saveVMR -z0[2.5]10[5]30[10]80[20]100 -fxy -x p T H2O CO2 O3 N2O CO CH4 O2 N2 -o /users/schrei_f/src/py4cats-lite/data/atmos/15/mls.xy /data/atm/50/midlatitudeSummer.xy ....
#
#what:   z    pressure temperature        H2O        CO2         O3        N2O         CO        CH4         O2         N2
#units: km          mb           K        ppm        ppm        ppm        ppm        ppm        ppm        ppm        ppm
     0.000        1013    294.200  1.876e+04        330    0.03017       0.32       0.15        1.7   2.09e+05   7.81e+05
     2.500     754.849    282.307       7688        330    0.03941       0.32     0.1373        1.7   2.09e+05   7.81e+05
     5.000         554    267.200       2225        330    0.05512       0.32     0.1303      1.687   2.09e+05   7.81e+05
     7.500     398.193    251.450      816.1        330    0.08413     0.3199     0.1219      1.638   2.09e+05   7.81e+05
    10.000         281    235.300      247.2        330     0.1304     0.3096    0.09962      1.579   2.09e+05   7.81e+05
    15.000         130    215.700        3.4        330        0.5     0.2724    0.03941      1.422   2.09e+05   7.81e+05
    20.000        59.5    219.200        3.3        330          2     0.1607    0.01331      1.224   2.09e+05   7.81e+05
    25.000        27.7    225.100        4.2        330        4.8    0.08958    0.01521     0.7888   2.09e+05   7.81e+05
    30.000        13.2    233.700        4.7        330          7    0.06698    0.01995     0.6315   2.09e+05   7.81e+05
    40.000        3.33    257.500        5.1        330       7.55    0.01736    0.02962     0.3916   2.09e+05   7.81e+05
    50.000       0.951    275.700        5.5        330        2.8   0.003215    0.03645     0.1944   2.09e+05   7.81e+05
    60.000       0.272    257.100          5        330        1.3   0.001397    0.04673       0.15   2.09e+05   7.81e+05
    70.000       0.067    218.100        3.7        330        0.4  0.0007772     0.1177       0.15   2.09e+05   7.81e+05
    80.000       0.012    174.100        2.1        328        0.2  0.0005166     0.6815       0.15   2.09e+05   7.81e+05
   100.000    0.000258    190.500        0.4        195        0.4  0.0002844      10.08       0.12    1.6e+05   7.77e+05
