# atmos -ih --saveVMR -z0[2.5]10[5]30[10]80[20]100 -fxy -x p T H2O CO2 O3 N2O CO CH4 O2 N2 -o /users/schrei_f/src/py4cats-lite/data/atmos/15/mlw.xy /data/atm/50/midlatitudeWinter.xy ....
#
#what:   z    pressure temperature        H2O        CO2         O3        N2O         CO        CH4         O2         N2
#units: km          mb           K        ppm        ppm        ppm        ppm        ppm        ppm        ppm        ppm
     0.000        1018    272.200       4316        330    0.02778       0.32       0.15        1.7   2.09e+05   7.81e+05
     2.500     740.388    263.565       2446        330     0.0299       0.32     0.1373        1.7   2.09e+05   7.81e+05
     5.000       531.3    249.700      824.1        330     0.0472       0.32     0.1303      1.687   2.09e+05   7.81e+05
     7.500     373.631    234.700      157.6        330    0.08998     0.3199     0.1219      1.638   2.09e+05   7.81e+05
    10.000       256.8    219.700       29.6        330      0.237     0.3096    0.09962      1.579   2.09e+05   7.81e+05
    15.000       117.8    217.200        4.7        330        0.9     0.2724    0.03941      1.422   2.09e+05   7.81e+05
    20.000        53.7    215.200        4.5        330        2.9     0.1621    0.01331      1.224   2.09e+05   7.81e+05
    25.000        24.4    215.200       4.65        330        5.1    0.09661    0.01498     0.7931   2.09e+05   7.81e+05
    30.000        11.1    217.400       4.75        330        6.1    0.07524     0.0171     0.6438   2.09e+05   7.81e+05
    40.000        2.53    243.200       4.95        330        6.9    0.02995    0.02331     0.3931   2.09e+05   7.81e+05
    50.000       0.683    265.700       4.95        330       2.75   0.004164    0.06245     0.1944   2.09e+05   7.81e+05
    60.000       0.188    250.800        4.5        330          1   0.001809     0.2926       0.15   2.09e+05   7.81e+05
    70.000       0.047    230.700        3.3        330       0.32   0.001007      1.078       0.15   2.09e+05   7.81e+05
    80.000      0.0103    210.100          2        328       0.23  0.0006333       2.96       0.15   2.09e+05   7.81e+05
   100.000   0.0004074    218.600        0.4        195        0.4   0.000314      17.09       0.12    1.6e+05   7.77e+05
