# atmos -ih --saveVMR -z0[2.5]10[5]30[10]80[20]100 -fxy -x p T H2O CO2 O3 N2O CO CH4 O2 N2 -o /users/schrei_f/src/py4cats-lite/data/atmos/15/sas.xy /data/atm/50/subarcticSummer.xy ....
#
#what:   z    pressure temperature        H2O        CO2         O3        N2O         CO        CH4         O2         N2
#units: km          mb           K        ppm        ppm        ppm        ppm        ppm        ppm        ppm        ppm
     0.000        1010    287.200  1.194e+04        330    0.02412       0.31       0.15        1.7   2.09e+05   7.81e+05
     2.500     745.263    273.600       5749        330    0.03624       0.31     0.1373        1.7   2.09e+05   7.81e+05
     5.000         541    260.100       2218        330    0.05328     0.3024     0.1303      1.687   2.09e+05   7.81e+05
     7.500     385.208    242.650      581.6        330    0.08314     0.2789     0.1219      1.638   2.09e+05   7.81e+05
    10.000       267.7    225.200       42.4        330      0.189     0.2651    0.09962      1.579   2.09e+05   7.81e+05
    15.000         126    225.200          4        330        0.7     0.2355    0.03941      1.389   2.09e+05   7.81e+05
    20.000          59    225.200        4.6        330        2.1     0.1567    0.01331      1.072   2.09e+05   7.81e+05
    25.000        27.8    228.100        4.9        330        4.5    0.08775     0.0151     0.7477   2.09e+05   7.81e+05
    30.000        13.4    235.100          5        330        5.7    0.05941    0.01808     0.6442   2.09e+05   7.81e+05
    40.000         3.4    262.100          5        330          7    0.01274    0.02496     0.3708   2.09e+05   7.81e+05
    50.000       0.987    277.200       4.95        330        2.5   0.002795     0.0322      0.166   2.09e+05   7.81e+05
    60.000       0.288    262.700        4.5        330        1.2   0.001214    0.04589       0.15   2.09e+05   7.81e+05
    70.000       0.071    216.600        3.3        330        0.4  0.0006756     0.1176       0.15   2.09e+05   7.81e+05
    80.000      0.0125    170.600          2        328       0.18  0.0004649     0.7894       0.15   2.09e+05   7.81e+05
   100.000    0.000248    190.400        0.4        195        0.4  0.0002713      10.43       0.12    1.6e+05   7.77e+05
