# atmos -ih --saveVMR -z0[2.5]10[5]30[10]80[20]100 -fxy -x p T H2O CO2 O3 N2O CO CH4 O2 N2 -o /users/schrei_f/src/py4cats-lite/data/atmos/15/saw.xy /data/atm/50/subarcticWinter.xy ....
#
#what:   z    pressure temperature        H2O        CO2         O3        N2O         CO        CH4         O2         N2
#units: km          mb           K        ppm        ppm        ppm        ppm        ppm        ppm        ppm        ppm
     0.000        1013    257.200       1405        330    0.01802       0.32       0.15        1.7   2.09e+05   7.81e+05
     2.500     727.174    254.388       1308        330    0.02535       0.32     0.1373        1.7   2.09e+05   7.81e+05
     5.000       515.8    240.900      430.9        330    0.03801       0.32     0.1303      1.687   2.09e+05   7.81e+05
     7.500     357.203    223.670      78.88        330     0.0859     0.3199     0.1219      1.638   2.09e+05   7.81e+05
    10.000       241.8    217.200         20        330        0.3     0.3096    0.09962      1.579   2.09e+05   7.81e+05
    15.000       110.3    217.200       4.55        330        1.2     0.2724    0.03941      1.389   2.09e+05   7.81e+05
    20.000       50.14    214.200        4.8        330        3.7     0.1621    0.01331      1.084   2.09e+05   7.81e+05
    25.000       22.56    211.200          5        330        4.7     0.0957    0.01521     0.7961   2.09e+05   7.81e+05
    30.000        10.2    216.000          5        330        5.4    0.07314    0.02037     0.6941   2.09e+05   7.81e+05
    40.000       2.243    234.700          5        330        5.9    0.02471    0.06472     0.4505   2.09e+05   7.81e+05
    50.000      0.5719    259.300       4.95        330        2.6   0.003972     0.3141      0.198   2.09e+05   7.81e+05
    60.000       0.155    250.900        4.5        330       0.95   0.001726     0.7147       0.15   2.09e+05   7.81e+05
    70.000        0.04    245.400        3.3        330        0.5  0.0009602      1.516       0.15   2.09e+05   7.81e+05
    80.000     0.00966    223.900          2        328       0.13  0.0006097       3.06       0.15   2.09e+05   7.81e+05
   100.000    0.000423    218.500        0.4        195        0.4   0.000308       17.1       0.12    1.6e+05   7.77e+05
