# atmos -ih --saveVMR -z0[2.5]10[5]30[10]80[20]100 -x NO SO2 NO2 NH3 HNO3 OH HF HCl HBr HI ClO OCS H2CO HOCl N2 HCN CH3CL H2O2 C2H2 C2H6 PH3 HO2 -fxy -o 15/traces.xy  50/USstandard_all.xy
#
#where: AFGL Atmospheric Constituent Profiles --- Trace Gases
#what:   z        NO        SO2        NO2        NH3       HNO3         OH         HF        HCl        HBr         HI        ClO        OCS       H2CO       HOCl         N2        HCN      CH3CL       H2O2       C2H2       C2H6        PH3        HO2
#units: km       ppm        ppm        ppm        ppm        ppm        ppm        ppm        ppm        ppm        ppm        ppm        ppm        ppm        ppm        ppm        ppm        ppm        ppm        ppm        ppm        ppm        ppm
     0.000    0.0003     0.0003    2.3e-05     0.0005      5e-05    4.4e-08      1e-08      0.001    1.7e-06      3e-06      1e-08     0.0006     0.0024    7.7e-06   7.81e+05    0.00017     0.0007     0.0002     0.0003      0.002      1e-14      4e-05
     2.500    0.0003  0.0002134    2.3e-05   0.000426  7.421e-05    4.4e-08  1.529e-08  0.0004863    1.7e-06      3e-06      1e-08  0.0005749  0.0002951  1.193e-05   7.81e+05  0.0001619  0.0006317  0.0001906  7.901e-05      0.002      1e-14  1.732e-05
     5.000    0.0003   0.000118    2.3e-05   0.000204   9.75e-05    4.4e-08   5.63e-08   0.000239    1.7e-06      3e-06      1e-08   0.000555     0.0001   8.01e-06   7.81e+05    0.00016   0.000602   0.000177   3.99e-05    0.00195      1e-14    7.5e-06
     7.500    0.0003  7.703e-05    2.3e-05  8.063e-05  0.0001326  4.425e-08  1.917e-07  0.0001145    1.7e-06      3e-06  1.003e-08  0.0005359  5.488e-05  5.007e-06   7.81e+05    0.00016  0.0005993   0.000137   2.66e-05   0.001821      1e-14  2.049e-06
    10.000    0.0003   6.08e-05   2.38e-05   2.03e-05   0.000174   4.68e-08   6.57e-07   5.68e-05    1.7e-06      3e-06   1.21e-08   0.000518   3.63e-05   4.34e-06   7.81e+05    0.00016   0.000588   5.79e-05   2.27e-05    0.00158      1e-14    5.4e-07
    15.000  0.000283   5.75e-05   0.000171   4.47e-07   0.000452   6.75e-08   7.09e-06   0.000163    1.7e-06      3e-06   1.78e-07   0.000426   3.62e-05   6.86e-06   7.81e+05   0.000155   0.000503    4.2e-06   4.52e-06   0.000335      1e-14    1.7e-07
    20.000  0.000255   3.19e-05    0.00139   2.41e-08     0.0042   2.16e-07   5.77e-05   0.000489    1.7e-06      3e-06   4.64e-06   0.000241   3.43e-05   3.07e-05   7.81e+05   0.000137   0.000369   3.68e-06    3.1e-07   6.01e-05      1e-14    9.6e-07
    25.000  0.000685   1.75e-05    0.00374   1.23e-08    0.00561   2.18e-06   0.000182   0.000651   1.71e-06      3e-06   3.97e-05   0.000108   5.82e-05   0.000131   7.81e+05   0.000113   0.000191    6.2e-05   8.51e-09   1.22e-05      1e-14    6.7e-06
    30.000   0.00245   1.34e-05    0.00616   6.35e-09    0.00374   1.17e-05   0.000283   0.000988    1.9e-06      3e-06   0.000185   2.96e-05   8.73e-05   0.000245   7.81e+05   9.73e-05   4.72e-05   0.000136   2.52e-09   2.14e-06      1e-14    2.9e-05
    40.000    0.0112   1.36e-05    0.00403   2.94e-10   0.000533   0.000285   0.000395    0.00174   4.91e-06      3e-06   0.000595   6.71e-07   0.000103   0.000248   7.81e+05   7.63e-05   1.32e-06   6.37e-05   1.18e-09   5.39e-08      1e-14    9.8e-05
    50.000    0.0103   3.56e-05   0.000443   7.13e-12   5.55e-05   0.000675   0.000425     0.0018   7.14e-06      3e-06   0.000104   2.47e-07    5.1e-06   2.53e-05   7.81e+05   6.43e-05   4.94e-07   3.48e-05   8.83e-10   4.74e-09      1e-14     0.0002
    60.000    0.0101   5.15e-05   0.000285   3.66e-12   3.84e-05    0.00176   0.000425     0.0018   7.15e-06      3e-06    6.3e-05   2.16e-07   1.05e-06   1.05e-05   7.81e+05   6.02e-05   4.32e-07   5.25e-05    8.1e-10   3.28e-09      1e-14    0.00027
    70.000    0.0115   4.32e-05   0.000231   2.57e-12   3.27e-05    0.00719   0.000425     0.0018   7.15e-06      3e-06   5.04e-05   2.03e-07   5.14e-07   7.11e-06   7.81e+05   5.75e-05   4.05e-07   0.000377    7.6e-10   2.79e-09      1e-14    0.00058
    80.000    0.0268   1.33e-05   0.000202   2.04e-12   3.01e-05     0.0113   0.000425     0.0018   7.15e-06      3e-06   4.49e-05   1.95e-07   3.53e-07   5.78e-06   7.81e+05    5.5e-05   3.89e-07      0.002   7.23e-10   2.56e-09      1e-14     0.0015
   100.000      2.08   3.58e-07    0.00017   1.48e-12   2.73e-05   4.47e-05   0.000425     0.0018   7.15e-06      3e-06   3.93e-05   1.85e-07    2.3e-07   4.56e-06   7.77e+05      5e-05   3.69e-07   6.76e-06    6.7e-10   2.33e-09      1e-14      1e-05
