# atmos -ih --saveVMR -z0[2.5]10[5]30[10]80[20]100 -fxy -x p T H2O CO2 O3 N2O CO CH4 O2 N2 -o /users/schrei_f/src/py4cats-lite/data/atmos/15/tro.xy /data/atm/50/tropical.xy ....
#
#what:   z    pressure temperature        H2O        CO2         O3        N2O         CO        CH4         O2         N2
#units: km          mb           K        ppm        ppm        ppm        ppm        ppm        ppm        ppm        ppm
     0.000        1013    299.700  2.593e+04        330    0.02869       0.32       0.15        1.7   2.09e+05   7.81e+05
     2.500     758.942    285.726  1.197e+04        330    0.03434       0.32     0.1373        1.7   2.09e+05   7.81e+05
     5.000         559    270.300       3346        330    0.03767       0.32     0.1303        1.7   2.09e+05   7.81e+05
     7.500     404.319    253.656      999.5        330    0.04335       0.32     0.1219      1.698   2.09e+05   7.81e+05
    10.000         286    237.000      191.2        330    0.05595     0.3179    0.09962      1.685   2.09e+05   7.81e+05
    15.000         132    203.700          4        330     0.1256     0.2944    0.03941      1.605   2.09e+05   7.81e+05
    20.000        56.5    206.700        2.6        330        1.4     0.2365    0.01331      1.424   2.09e+05   7.81e+05
    25.000        25.7    221.400       3.25        330        5.4     0.1756    0.01521      1.055   2.09e+05   7.81e+05
    30.000        12.2    232.300          4        330        9.3     0.1416    0.01995     0.9136   2.09e+05   7.81e+05
    40.000        3.05    254.000        5.2        330        7.5    0.04513    0.03098     0.5638   2.09e+05   7.81e+05
    50.000       0.854    270.200          6        330        2.8   0.004752    0.05092       0.21   2.09e+05   7.81e+05
    60.000       0.239    253.100          6        330        1.1   0.002065     0.0696       0.15   2.09e+05   7.81e+05
    70.000       0.058    218.900        4.5        330        0.3   0.001149     0.1938       0.15   2.09e+05   7.81e+05
    80.000       0.011    184.800        2.1        328       0.33  0.0007056      1.549       0.15   2.09e+05   7.81e+05
   100.000    0.000289    190.700        0.4        195        0.4  0.0003323      17.05       0.12    1.6e+05   7.77e+05
