# atmos -ih --saveVMR -z0[2.5]10[5]30[10]80[20]100 -fxy -x p T H2O CO2 O3 N2O CO CH4 O2 N2 -o /users/schrei_f/src/py4cats-lite/data/atmos/15/uss.xy /data/atm/50/usStandard+traceGases.xy ....
#
#what:   z    pressure temperature        H2O        CO2         O3        N2O         CO        CH4         O2         N2
#units: km          mb           K        ppm        ppm        ppm        ppm        ppm        ppm        ppm        ppm
     0.000        1013    288.200       7745        330     0.0266       0.32       0.15        1.7   2.09e+05   7.81e+05
     2.500     746.901    271.950       3876        330    0.03284       0.32     0.1374        1.7   2.09e+05   7.81e+05
     5.000       540.5    255.700       1397        330    0.03768       0.32       0.13        1.7   2.09e+05   7.81e+05
     7.500     383.012    239.450        463        330    0.05419       0.32     0.1223        1.7   2.09e+05   7.81e+05
    10.000         265    223.300         70        330      0.131      0.318    0.09962       1.68   2.09e+05   7.81e+05
    15.000       121.1    216.700          5        330       0.65      0.294    0.03941       1.61   2.09e+05   7.81e+05
    20.000       55.29    216.700        3.9        330       2.58      0.236    0.01331       1.42   2.09e+05   7.81e+05
    25.000       25.49    221.600       4.43        330       5.12      0.176    0.01498       1.05   2.09e+05   7.81e+05
    30.000       11.97    226.500       4.72        330       6.55      0.142     0.0171      0.914   2.09e+05   7.81e+05
    40.000       2.871    250.400       5.03        330        7.3    0.04513    0.02497      0.564   2.09e+05   7.81e+05
    50.000      0.7978    270.700       5.22        330        3.1   0.004752    0.04597       0.21   2.09e+05   7.81e+05
    60.000       0.219    247.000       4.75        330        1.1   0.002065      0.107       0.15   2.09e+05   7.81e+05
    70.000      0.0522    219.600        3.5        330        0.3   0.001149      0.306       0.15   2.09e+05   7.81e+05
    80.000      0.0105    198.600       2.05        328        0.3  0.0007056        1.5       0.15   2.09e+05   7.81e+05
   100.000     0.00032    195.100        0.4        195        0.4  0.0003323       16.9       0.12    1.6e+05   7.77e+05
