# atmos --saveVMR -z0[1]5[2.5]15[5]40[10]80[20]100 -fxy -o midlatitudeSummer_20.xy midlatitudeSummer_50.xy
#
#what:   z    pressure temperature         air         H2O         CO2          O3         N2O          CO         CH4          N2          O2
#units: km          mb           K     1/cm**3         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm
       0.0        1013     294.200   2.494e+19   1.876e+04         330     0.03017        0.32        0.15         1.7    7.81e+05    2.09e+05
       1.0         902     289.700   2.255e+19   1.378e+04         330     0.03337        0.32       0.145         1.7    7.81e+05    2.09e+05
       2.0         802     285.200   2.037e+19        9680         330     0.03694        0.32      0.1399         1.7    7.81e+05    2.09e+05
       3.0         710     279.200   1.842e+19        5984         330     0.04222        0.32      0.1349         1.7    7.81e+05    2.09e+05
       4.0         628     273.200   1.665e+19        3813         330     0.04821        0.32      0.1312       1.697    7.81e+05    2.09e+05
       5.0         554     267.200   1.502e+19        2225         330     0.05512        0.32      0.1303       1.687    7.81e+05    2.09e+05
       7.5       398.1     251.450   1.147e+19       833.2         330     0.08445      0.3197      0.1216       1.639    7.81e+05    2.09e+05
      10.0         281     235.300    8.65e+18       247.2         330      0.1304      0.3096     0.09962       1.579    7.81e+05    2.09e+05
      12.5       193.4     219.050   6.395e+18       18.72         330      0.2615      0.2898     0.07094       1.494    7.81e+05    2.09e+05
      15.0         130     215.700   4.365e+18         3.4         330         0.5      0.2724     0.03941       1.422    7.81e+05    2.09e+05
      20.0        59.5     219.200   1.966e+18         3.3         330           2      0.1607     0.01331       1.224    7.81e+05    2.09e+05
      25.0        27.7     225.100   8.913e+17         4.2         330         4.8     0.08958     0.01521      0.7888    7.81e+05    2.09e+05
      30.0        13.2     233.700   4.091e+17         4.7         330           7     0.06698     0.01995      0.6315    7.81e+05    2.09e+05
      35.0        6.52     245.200   1.926e+17        4.95         330         8.9     0.03695     0.02487      0.5008    7.81e+05    2.09e+05
      40.0        3.33     257.500   9.367e+16         5.1         330        7.55     0.01736     0.02962      0.3916    7.81e+05    2.09e+05
      50.0       0.951     275.700   2.498e+16         5.5         330         2.8    0.003215     0.03645      0.1944    7.81e+05    2.09e+05
      60.0       0.272     257.100   7.663e+15           5         330         1.3    0.001397     0.04673        0.15    7.81e+05    2.09e+05
      70.0       0.067     218.100   2.225e+15         3.7         330         0.4   0.0007772      0.1177        0.15    7.81e+05    2.09e+05
      80.0       0.012     174.100   4.992e+14         2.1         328         0.2   0.0005166      0.6815        0.15    7.81e+05    2.09e+05
     100.0    0.000258     190.500   9.809e+12         0.4         195         0.4   0.0002844       10.08        0.12    7.77e+05     1.6e+05
