# atmos --saveVMR -z0[1]5[2.5]15[5]40[10]80[20]100 -fxy -o mlw_20.xy midlatitudeWinter_50.xy
#
#what:   z    pressure temperature         air         H2O         CO2          O3         N2O          CO         CH4          N2          O2
#units: km          mb           K     1/cm**3         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm
       0.0        1018     272.200   2.709e+19    4.32e+03         330      0.0278        0.32        0.15         1.7    7.81e+05    2.09e+05
       1.0       897.3     268.700   2.419e+19    3.45e+03         330       0.028        0.32       0.145         1.7    7.81e+05    2.09e+05
       2.0       789.7     265.200   2.157e+19    2.79e+03         330      0.0285        0.32        0.14         1.7    7.81e+05    2.09e+05
       3.0       693.8     261.700    1.92e+19    2.09e+03         330       0.032        0.32       0.135         1.7    7.81e+05    2.09e+05
       4.0       608.1     255.700   1.723e+19    1.28e+03         330      0.0357        0.32       0.131         1.7    7.81e+05    2.09e+05
       5.0       531.3     249.700   1.541e+19         824         330      0.0472        0.32        0.13        1.69    7.81e+05    2.09e+05
       7.5     373.464     234.700   1.153e+19         170         330      0.0914        0.32       0.122        1.64    7.81e+05    2.09e+05
      10.0       256.8     219.700   8.466e+18        29.6         330       0.237        0.31      0.0996        1.58    7.81e+05    2.09e+05
      12.5     174.124     218.450   5.773e+18         5.5         330       0.613        0.29      0.0709        1.49    7.81e+05    2.09e+05
      15.0       117.8     217.200   3.928e+18         4.7         330         0.9       0.272      0.0394        1.42    7.81e+05    2.09e+05
      20.0        53.7     215.200   1.807e+18         4.5         330         2.9       0.162      0.0133        1.22    7.81e+05    2.09e+05
      25.0        24.4     215.200   8.212e+17        4.65         330         5.1      0.0966       0.015       0.793    7.81e+05    2.09e+05
      30.0        11.1     217.400   3.698e+17        4.75         330         6.1      0.0752      0.0171       0.644    7.81e+05    2.09e+05
      35.0        5.18     227.900   1.646e+17        4.85         330         7.1      0.0512        0.02       0.505    7.81e+05    2.09e+05
      40.0        2.53     243.200   7.535e+16        4.95         330         6.9        0.03      0.0233       0.393    7.81e+05    2.09e+05
      50.0       0.683     265.700   1.862e+16        4.95         330        2.75     0.00416      0.0624       0.194    7.81e+05    2.09e+05
      60.0       0.188     250.800   5.429e+15         4.5         330           1     0.00181       0.293        0.15    7.81e+05    2.09e+05
      70.0       0.047     230.700   1.476e+15         3.3         330        0.32     0.00101        1.08        0.15    7.81e+05    2.09e+05
      80.0      0.0103     210.100   3.551e+14           2         328        0.23    0.000633        2.96        0.15    7.81e+05    2.09e+05
     100.0   0.0004074     218.600    1.35e+13         0.4         195         0.4    0.000314        17.1        0.12    7.77e+05     1.6e+05
