# atmos --saveVMR -z0[1]5[2.5]15[5]40[10]80[20]100 -fxy -o sas_20.xy subarcticSummer_50.xy
#
#what:   z    pressure temperature         air         H2O         CO2          O3         N2O          CO         CH4          N2          O2
#units: km          mb           K     1/cm**3         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm
       0.0        1010     287.200   2.547e+19    1.19e+04         330      0.0241        0.31        0.15         1.7    7.81e+05    2.09e+05
       1.0         896     281.700   2.304e+19     8.7e+03         330      0.0294        0.31       0.145         1.7    7.81e+05    2.09e+05
       2.0       792.9     276.300   2.079e+19    6.75e+03         330      0.0338        0.31        0.14         1.7    7.81e+05    2.09e+05
       3.0         700     270.900   1.872e+19    4.82e+03         330      0.0389        0.31       0.135         1.7    7.81e+05    2.09e+05
       4.0         616     265.500    1.68e+19    3.38e+03         330      0.0448       0.308       0.131         1.7    7.81e+05    2.09e+05
       5.0         541     260.100   1.507e+19    2.22e+03         330      0.0533       0.302        0.13        1.69    7.81e+05    2.09e+05
       7.5     385.055     242.650   1.149e+19         598         330      0.0843       0.279       0.122        1.64    7.81e+05    2.09e+05
      10.0       267.7     225.200    8.61e+18        42.4         330       0.189       0.265      0.0996        1.58    7.81e+05    2.09e+05
      12.5     183.328     225.200   5.896e+18        5.22         330       0.455       0.252      0.0709        1.49    7.81e+05    2.09e+05
      15.0         126     225.200   4.052e+18           4         330         0.7       0.236      0.0394        1.39    7.81e+05    2.09e+05
      20.0          59     225.200   1.898e+18         4.6         330         2.1       0.157      0.0133        1.07    7.81e+05    2.09e+05
      25.0        27.8     228.100   8.827e+17         4.9         330         4.5      0.0878      0.0151       0.748    7.81e+05    2.09e+05
      30.0        13.4     235.100   4.128e+17           5         330         5.7      0.0594      0.0181       0.644    7.81e+05    2.09e+05
      35.0        6.61     247.200   1.937e+17           5         330         7.7      0.0303      0.0218       0.524    7.81e+05    2.09e+05
      40.0         3.4     262.100   9.396e+16           5         330           7      0.0127       0.025       0.371    7.81e+05    2.09e+05
      50.0       0.987     277.200   2.579e+16        4.95         330         2.5     0.00279      0.0322       0.166    7.81e+05    2.09e+05
      60.0       0.288     262.700   7.941e+15         4.5         330         1.2     0.00121      0.0459        0.15    7.81e+05    2.09e+05
      70.0       0.071     216.600   2.374e+15         3.3         330         0.4    0.000676       0.118        0.15    7.81e+05    2.09e+05
      80.0      0.0125     170.600   5.307e+14           2         328        0.18    0.000465       0.789        0.15    7.81e+05    2.09e+05
     100.0    0.000248     190.400   9.434e+12         0.4         195         0.4    0.000271        10.4        0.12    7.77e+05     1.6e+05
