# atmos --saveVMR -z0[1]5[2.5]15[5]40[10]80[20]100 -fxy -o saw_20.xy subarcticWinter_50.xy
#
#what:   z    pressure temperature         air         H2O         CO2          O3         N2O          CO         CH4          N2          O2
#units: km          mb           K     1/cm**3         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm
       0.0        1013     257.200   2.853e+19     1.4e+03         330       0.018        0.32        0.15         1.7    7.81e+05    2.09e+05
       1.0       887.8     259.100   2.482e+19    1.62e+03         330      0.0207        0.32       0.145         1.7    7.81e+05    2.09e+05
       2.0       777.5     255.900   2.201e+19    1.43e+03         330      0.0234        0.32        0.14         1.7    7.81e+05    2.09e+05
       3.0       679.8     252.700   1.948e+19    1.17e+03         330      0.0277        0.32       0.135         1.7    7.81e+05    2.09e+05
       4.0       593.2     247.700   1.735e+19         790         330      0.0325        0.32       0.131         1.7    7.81e+05    2.09e+05
       5.0       515.8     240.900   1.551e+19         431         330       0.038        0.32        0.13        1.69    7.81e+05    2.09e+05
       7.5     357.012     223.950   1.155e+19        90.4         330      0.0883        0.32       0.122        1.64    7.81e+05    2.09e+05
      10.0       241.8     217.200   8.063e+18          20         330         0.3        0.31      0.0996        1.58    7.81e+05    2.09e+05
      12.5     163.299     217.200   5.446e+18        5.22         330       0.525        0.29      0.0709        1.49    7.81e+05    2.09e+05
      15.0       110.3     217.200   3.678e+18        4.55         330         1.2       0.272      0.0394        1.39    7.81e+05    2.09e+05
      20.0       50.14     214.200   1.695e+18         4.8         330         3.7       0.162      0.0133        1.08    7.81e+05    2.09e+05
      25.0       22.56     211.200   7.737e+17           5         330         4.7      0.0957      0.0152       0.796    7.81e+05    2.09e+05
      30.0        10.2     216.000    3.42e+17           5         330         5.4      0.0731      0.0204       0.694    7.81e+05    2.09e+05
      35.0       4.701     222.300   1.532e+17           5         330         6.2      0.0467      0.0317       0.588    7.81e+05    2.09e+05
      40.0       2.243     234.700   6.922e+16           5         330         5.9      0.0247      0.0647       0.451    7.81e+05    2.09e+05
      50.0      0.5719     259.300   1.597e+16        4.95         330         2.6     0.00397       0.314       0.198    7.81e+05    2.09e+05
      60.0       0.155     250.900   4.475e+15         4.5         330        0.95     0.00173       0.715        0.15    7.81e+05    2.09e+05
      70.0        0.04     245.400   1.181e+15         3.3         330         0.5     0.00096        1.52        0.15    7.81e+05    2.09e+05
      80.0     0.00966     223.900   3.125e+14           2         328        0.13     0.00061        3.06        0.15    7.81e+05    2.09e+05
     100.0    0.000423     218.500   1.402e+13         0.4         195         0.4    0.000308        17.1        0.12    7.77e+05     1.6e+05
