# atmos --saveVMR -z0[1]5[2.5]15[5]40[10]80[20]100 -fxy -o tro_20.xy tropical_50.xy
#
#what:   z    pressure temperature         air         H2O         CO2          O3         N2O          CO         CH4          N2          O2
#units: km          mb           K     1/cm**3         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm
       0.0        1013     299.700   2.448e+19    2.59e+04         330      0.0287        0.32        0.15         1.7    7.81e+05    2.09e+05
       1.0         904     293.700   2.229e+19    1.95e+04         330      0.0315        0.32       0.145         1.7    7.81e+05    2.09e+05
       2.0         805     287.700   2.027e+19    1.53e+04         330      0.0334        0.32        0.14         1.7    7.81e+05    2.09e+05
       3.0         715     283.700   1.825e+19     8.6e+03         330       0.035        0.32       0.135         1.7    7.81e+05    2.09e+05
       4.0         633     277.000   1.655e+19    4.44e+03         330      0.0356        0.32       0.131         1.7    7.81e+05    2.09e+05
       5.0         559     270.300   1.498e+19    3.35e+03         330      0.0377        0.32        0.13         1.7    7.81e+05    2.09e+05
       7.5     404.099     253.650   1.154e+19    1.03e+03         330      0.0435        0.32       0.122         1.7    7.81e+05    2.09e+05
      10.0         286     237.000    8.74e+18         191         330       0.056       0.318      0.0996        1.69    7.81e+05    2.09e+05
      12.5     196.891     220.300   6.473e+18        19.5         330      0.0855       0.307      0.0709        1.65    7.81e+05    2.09e+05
      15.0         132     203.700   4.694e+18           4         330       0.126       0.294      0.0394        1.61    7.81e+05    2.09e+05
      20.0        56.5     206.700    1.98e+18         2.6         330         1.4       0.237      0.0133        1.42    7.81e+05    2.09e+05
      25.0        25.7     221.400   8.408e+17        3.25         330         5.4       0.176      0.0152        1.06    7.81e+05    2.09e+05
      30.0        12.2     232.300   3.804e+17           4         330         9.3       0.142        0.02       0.914    7.81e+05    2.09e+05
      35.0           6     243.100   1.788e+17         4.6         330         9.7      0.0927      0.0249       0.746    7.81e+05    2.09e+05
      40.0        3.05     254.000   8.697e+16         5.2         330         7.5      0.0451       0.031       0.564    7.81e+05    2.09e+05
      50.0       0.854     270.200   2.289e+16           6         330         2.8     0.00475      0.0509        0.21    7.81e+05    2.09e+05
      60.0       0.239     253.100   6.839e+15           6         330         1.1     0.00206      0.0696        0.15    7.81e+05    2.09e+05
      70.0       0.058     218.900   1.919e+15         4.5         330         0.3     0.00115       0.194        0.15    7.81e+05    2.09e+05
      80.0       0.011     184.800   4.311e+14         2.1         328        0.33    0.000706        1.55        0.15    7.81e+05    2.09e+05
     100.0    0.000289     190.700   1.098e+13         0.4         195         0.4    0.000332        17.1        0.12    7.77e+05     1.6e+05
