# atmos --saveVMR -z0[1]5[2.5]15[5]40[10]80[20]100 -fxy -o US_standard.XY US_standard50.xy
#
#what:   z    pressure temperature         air         H2O         CO2          O3         N2O          CO         CH4          O2
#units: km          mb           K     1/cm**3         ppm         ppm         ppm         ppm         ppm         ppm         ppm
       0.0        1013     288.200   2.548e+19    7.74e+03         330      0.0266        0.32        0.15         1.7    2.09e+05
       1.0       898.8     281.700   2.313e+19    6.07e+03         330      0.0293        0.32       0.145         1.7    2.09e+05
       2.0       795.0     275.200   2.094e+19    4.63e+03         330      0.0324        0.32        0.14         1.7    2.09e+05
       3.0       701.2     268.700   1.891e+19    3.18e+03         330      0.0332        0.32       0.135         1.7    2.09e+05
       4.0       616.6     262.200   1.704e+19    2.16e+03         330      0.0339        0.32       0.131         1.7    2.09e+05
       5.0         540     255.700   1.532e+19     1.4e+03         330      0.0377        0.32        0.13         1.7    2.09e+05
       7.5       382.5     239.450   1.159e+19         469         330      0.0549        0.32       0.122         1.7    2.09e+05
      10.0       265.0     223.300   8.602e+18          70         330       0.131       0.318      0.0996        1.68    2.09e+05
      12.5      179.46     216.700   5.999e+18          15         330       0.348       0.307      0.0709        1.65    2.09e+05
      15.0       121.1     216.700    4.05e+18           5         330        0.65       0.294      0.0394        1.61    2.09e+05
      20.0       55.29     216.700   1.849e+18         3.9         330        2.58       0.236      0.0133        1.42    2.09e+05
      25.0       25.49     221.600   8.337e+17        4.43         330        5.12       0.176       0.015        1.05    2.09e+05
      30.0       11.97     226.500    3.83e+17        4.72         330        6.55       0.142      0.0171       0.914    2.09e+05
      35.0       5.746     236.500   1.761e+17         4.9         330        7.84      0.0927      0.0201       0.746    2.09e+05
      40.0       2.871     250.400    8.31e+16        5.03         330         7.3      0.0451       0.025       0.564    2.09e+05
      50.0      0.7978     270.700   2.136e+16        5.22         330         3.1     0.00475       0.046        0.21    2.09e+05
      60.0      0.2190     247.000   6.426e+15        4.75         330         1.1     0.00206       0.107        0.15    2.09e+05
      70.0      0.0522     219.600   1.723e+15         3.5         330         0.3     0.00115       0.306        0.15    2.09e+05
      80.0      0.0105     198.600   3.832e+14        2.05         328         0.3    0.000706         1.5        0.15    2.09e+05
     100.0     0.00032     195.100   1.189e+13         0.4         195         0.4    0.000332        16.9        0.12     1.6e+05
