# atmos --saveVMR -z0[1]4[2]20[5]40[10]120 -fxy -o midlatitudeSummer_25.xy midlatitudeSummer_50.xy
#
#what:   z    pressure temperature         air         H2O         CO2          O3         N2O          CO         CH4          N2          O2
#units: km          mb           K     1/cm**3         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm
     0.000        1013     294.200   2.494e+19    1.88e+04         330      0.0302        0.32        0.15         1.7    7.81e+05    2.09e+05
     1.000         902     289.700   2.255e+19    1.38e+04         330      0.0334        0.32       0.145         1.7    7.81e+05    2.09e+05
     2.000         802     285.200   2.037e+19    9.68e+03         330      0.0369        0.32        0.14         1.7    7.81e+05    2.09e+05
     3.000         710     279.200   1.842e+19    5.98e+03         330      0.0422        0.32       0.135         1.7    7.81e+05    2.09e+05
     4.000         628     273.200   1.665e+19    3.81e+03         330      0.0482        0.32       0.131         1.7    7.81e+05    2.09e+05
     6.000         487     261.200    1.35e+19    1.51e+03         330      0.0641        0.32       0.129        1.67    7.81e+05    2.09e+05
     8.000         372     248.200   1.086e+19         646         330      0.0913        0.32       0.118        1.63    7.81e+05    2.09e+05
    10.000         281     235.300    8.65e+18         247         330        0.13        0.31      0.0996        1.58    7.81e+05    2.09e+05
    12.000         209     222.300    6.81e+18        29.4         330       0.223       0.294      0.0781        1.51    7.81e+05    2.09e+05
    14.000         153     215.700   5.138e+18           5         330        0.44        0.28      0.0503        1.45    7.81e+05    2.09e+05
    16.000         111     215.700   3.727e+18         3.3         330         0.6       0.261      0.0307        1.39    7.81e+05    2.09e+05
    18.000        81.2     216.800   2.713e+18        3.15         330           1       0.217      0.0197        1.32    7.81e+05    2.09e+05
    20.000        59.5     219.200   1.966e+18         3.3         330           2       0.161      0.0133        1.22    7.81e+05    2.09e+05
    25.000        27.7     225.100   8.913e+17         4.2         330         4.8      0.0896      0.0152       0.789    7.81e+05    2.09e+05
    30.000        13.2     233.700   4.091e+17         4.7         330           7       0.067      0.0199       0.632    7.81e+05    2.09e+05
    35.000        6.52     245.200   1.926e+17        4.95         330         8.9       0.037      0.0249       0.501    7.81e+05    2.09e+05
    40.000        3.33     257.500   9.367e+16         5.1         330        7.55      0.0174      0.0296       0.392    7.81e+05    2.09e+05
    50.000       0.951     275.700   2.498e+16         5.5         330         2.8     0.00321      0.0364       0.194    7.81e+05    2.09e+05
    60.000       0.272     257.100   7.663e+15           5         330         1.3      0.0014      0.0467        0.15    7.81e+05    2.09e+05
    70.000       0.067     218.100   2.225e+15         3.7         330         0.4    0.000777       0.118        0.15    7.81e+05    2.09e+05
    80.000       0.012     174.100   4.992e+14         2.1         328         0.2    0.000517       0.681        0.15    7.81e+05    2.09e+05
    90.000     0.00164     165.000   7.199e+13        0.85         310        0.75    0.000373        2.85        0.14     7.8e+05     1.9e+05
   100.000    0.000258     190.500   9.809e+12         0.4         195         0.4    0.000284        10.1        0.12    7.77e+05     1.6e+05
   110.000    6.11e-05     262.400   1.687e+12        0.28          60        0.05    0.000226        28.6       0.095     7.7e+05     1.2e+05
   120.000    2.27e-05     380.000   4.327e+11         0.2          35      0.0005    0.000185          50        0.03     7.6e+05    7.25e+04
