# atmos --saveVMR -z0[1]4[2]20[5]40[10]120 -fxy -o midLatWin_25.xy midlatitudeWinter_50.xy
#
#what:   z    pressure temperature         air         H2O         CO2          O3         N2O          CO         CH4          N2          O2
#units: km          mb           K     1/cm**3         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm
     0.000        1018     272.200   2.709e+19    4.32e+03         330      0.0278        0.32        0.15         1.7    7.81e+05    2.09e+05
     1.000       897.3     268.700   2.419e+19    3.45e+03         330       0.028        0.32       0.145         1.7    7.81e+05    2.09e+05
     2.000       789.7     265.200   2.157e+19    2.79e+03         330      0.0285        0.32        0.14         1.7    7.81e+05    2.09e+05
     3.000       693.8     261.700    1.92e+19    2.09e+03         330       0.032        0.32       0.135         1.7    7.81e+05    2.09e+05
     4.000       608.1     255.700   1.723e+19    1.28e+03         330      0.0357        0.32       0.131         1.7    7.81e+05    2.09e+05
     6.000       462.7     243.700   1.375e+19         510         330      0.0584        0.32       0.129        1.67    7.81e+05    2.09e+05
     8.000       347.3     231.700   1.086e+19         108         330       0.104        0.32       0.118        1.63    7.81e+05    2.09e+05
    10.000       256.8     219.700   8.466e+18        29.6         330       0.237        0.31      0.0996        1.58    7.81e+05    2.09e+05
    12.000       188.2     218.700   6.233e+18           6         330       0.523       0.294      0.0781        1.51    7.81e+05    2.09e+05
    14.000       137.8     217.700   4.585e+18         4.8         330         0.8        0.28      0.0503        1.45    7.81e+05    2.09e+05
    16.000       100.7     216.700   3.366e+18         4.6         330         1.1       0.261      0.0307        1.39    7.81e+05    2.09e+05
    18.000        73.6     215.700   2.471e+18         4.5         330         1.8       0.217      0.0197        1.32    7.81e+05    2.09e+05
    20.000        53.7     215.200   1.807e+18         4.5         330         2.9       0.162      0.0133        1.22    7.81e+05    2.09e+05
    25.000        24.4     215.200   8.212e+17        4.65         330         5.1      0.0966       0.015       0.793    7.81e+05    2.09e+05
    30.000        11.1     217.400   3.698e+17        4.75         330         6.1      0.0752      0.0171       0.644    7.81e+05    2.09e+05
    35.000        5.18     227.900   1.646e+17        4.85         330         7.1      0.0512        0.02       0.505    7.81e+05    2.09e+05
    40.000        2.53     243.200   7.535e+16        4.95         330         6.9        0.03      0.0233       0.393    7.81e+05    2.09e+05
    50.000       0.683     265.700   1.862e+16        4.95         330        2.75     0.00416      0.0624       0.194    7.81e+05    2.09e+05
    60.000       0.188     250.800   5.429e+15         4.5         330           1     0.00181       0.293        0.15    7.81e+05    2.09e+05
    70.000       0.047     230.700   1.476e+15         3.3         330        0.32     0.00101        1.08        0.15    7.81e+05    2.09e+05
    80.000      0.0103     210.100   3.551e+14           2         328        0.23    0.000633        2.96        0.15    7.81e+05    2.09e+05
    90.000     0.00198     199.500   7.189e+13        0.85         310         0.8    0.000433        6.86        0.14     7.8e+05     1.9e+05
   100.000   0.0004074     218.600    1.35e+13         0.4         195         0.4    0.000314        17.1        0.12    7.77e+05     1.6e+05
   110.000   0.0001057     259.500    2.95e+12        0.28          60        0.05    0.000237        33.6       0.095     7.7e+05     1.2e+05
   120.000     3.6e-05     333.000    7.83e+11         0.2          35      0.0005    0.000185          50        0.03     7.6e+05    7.25e+04
