# atmos --saveVMR -z0[1]4[2]20[5]40[10]120 -fxy -o subArcSum_25.xy subarcticSummer_50.xy
#
#what:   z    pressure temperature         air         H2O         CO2          O3         N2O          CO         CH4          N2          O2
#units: km          mb           K     1/cm**3         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm
     0.000        1010     287.200   2.547e+19    1.19e+04         330      0.0241        0.31        0.15         1.7    7.81e+05    2.09e+05
     1.000         896     281.700   2.304e+19     8.7e+03         330      0.0294        0.31       0.145         1.7    7.81e+05    2.09e+05
     2.000       792.9     276.300   2.079e+19    6.75e+03         330      0.0338        0.31        0.14         1.7    7.81e+05    2.09e+05
     3.000         700     270.900   1.872e+19    4.82e+03         330      0.0389        0.31       0.135         1.7    7.81e+05    2.09e+05
     4.000         616     265.500    1.68e+19    3.38e+03         330      0.0448       0.308       0.131         1.7    7.81e+05    2.09e+05
     6.000         474     253.100   1.356e+19    1.33e+03         330      0.0656       0.291       0.129        1.67    7.81e+05    2.09e+05
     8.000         359     239.200   1.087e+19         400         330      0.0911       0.276       0.119        1.63    7.81e+05    2.09e+05
    10.000       267.7     225.200    8.61e+18        42.4         330       0.189       0.265      0.0996        1.58    7.81e+05    2.09e+05
    12.000       197.7     225.200   6.358e+18           6         330        0.41       0.255      0.0781        1.51    7.81e+05    2.09e+05
    14.000         146     225.200   4.696e+18           4         330         0.6       0.243      0.0503        1.43    7.81e+05    2.09e+05
    16.000         108     225.200   3.474e+18           4         330        0.85       0.228      0.0307        1.34    7.81e+05    2.09e+05
    18.000        79.8     225.200   2.567e+18         4.3         330         1.3       0.203      0.0197        1.23    7.81e+05    2.09e+05
    20.000          59     225.200   1.898e+18         4.6         330         2.1       0.157      0.0133        1.07    7.81e+05    2.09e+05
    25.000        27.8     228.100   8.827e+17         4.9         330         4.5      0.0878      0.0151       0.748    7.81e+05    2.09e+05
    30.000        13.4     235.100   4.128e+17           5         330         5.7      0.0594      0.0181       0.644    7.81e+05    2.09e+05
    35.000        6.61     247.200   1.937e+17           5         330         7.7      0.0303      0.0218       0.524    7.81e+05    2.09e+05
    40.000         3.4     262.100   9.396e+16           5         330           7      0.0127       0.025       0.371    7.81e+05    2.09e+05
    50.000       0.987     277.200   2.579e+16        4.95         330         2.5     0.00279      0.0322       0.166    7.81e+05    2.09e+05
    60.000       0.288     262.700   7.941e+15         4.5         330         1.2     0.00121      0.0459        0.15    7.81e+05    2.09e+05
    70.000       0.071     216.600   2.374e+15         3.3         330         0.4    0.000676       0.118        0.15    7.81e+05    2.09e+05
    80.000      0.0125     170.600   5.307e+14           2         328        0.18    0.000465       0.789        0.15    7.81e+05    2.09e+05
    90.000     0.00161     161.600   7.216e+13        0.85         310         0.9    0.000346         3.4        0.14     7.8e+05     1.9e+05
   100.000    0.000248     190.400   9.434e+12         0.4         195         0.4    0.000271        10.4        0.12    7.77e+05     1.6e+05
   110.000       6e-05     270.100   1.609e+12        0.28          60        0.05    0.000221        28.7       0.095     7.7e+05     1.2e+05
   120.000    2.26e-05     380.000   4.308e+11         0.2          35      0.0005    0.000185          50        0.03     7.6e+05    7.25e+04
