# atmos --saveVMR -z0[1]4[2]20[5]40[10]120 -fxy -o subArcWin_25.xy subarcticWinter_50.xy
#
#what:   z    pressure temperature         air         H2O         CO2          O3         N2O          CO         CH4          N2          O2
#units: km          mb           K     1/cm**3         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm
     0.000        1013     257.200   2.853e+19     1.4e+03         330       0.018        0.32        0.15         1.7    7.81e+05    2.09e+05
     1.000       887.8     259.100   2.482e+19    1.62e+03         330      0.0207        0.32       0.145         1.7    7.81e+05    2.09e+05
     2.000       777.5     255.900   2.201e+19    1.43e+03         330      0.0234        0.32        0.14         1.7    7.81e+05    2.09e+05
     3.000       679.8     252.700   1.948e+19    1.17e+03         330      0.0277        0.32       0.135         1.7    7.81e+05    2.09e+05
     4.000       593.2     247.700   1.735e+19         790         330      0.0325        0.32       0.131         1.7    7.81e+05    2.09e+05
     6.000       446.7     234.100   1.382e+19         237         330      0.0445        0.32       0.129        1.67    7.81e+05    2.09e+05
     8.000       330.8     220.600   1.086e+19        33.8         330       0.104        0.32       0.119        1.63    7.81e+05    2.09e+05
    10.000       241.8     217.200   8.063e+18          20         330         0.3        0.31      0.0996        1.58    7.81e+05    2.09e+05
    12.000       176.6     217.200   5.889e+18           6         330         0.4       0.294      0.0781        1.51    7.81e+05    2.09e+05
    14.000       129.1     217.200   4.305e+18         4.5         330         0.9        0.28      0.0503        1.43    7.81e+05    2.09e+05
    16.000       94.31     216.600   3.154e+18         4.6         330         1.5       0.261      0.0307        1.34    7.81e+05    2.09e+05
    18.000       68.82     215.400   2.314e+18         4.7         330        2.45       0.217      0.0197        1.23    7.81e+05    2.09e+05
    20.000       50.14     214.200   1.695e+18         4.8         330         3.7       0.162      0.0133        1.08    7.81e+05    2.09e+05
    25.000       22.56     211.200   7.737e+17           5         330         4.7      0.0957      0.0152       0.796    7.81e+05    2.09e+05
    30.000        10.2     216.000    3.42e+17           5         330         5.4      0.0731      0.0204       0.694    7.81e+05    2.09e+05
    35.000       4.701     222.300   1.532e+17           5         330         6.2      0.0467      0.0317       0.588    7.81e+05    2.09e+05
    40.000       2.243     234.700   6.922e+16           5         330         5.9      0.0247      0.0647       0.451    7.81e+05    2.09e+05
    50.000      0.5719     259.300   1.597e+16        4.95         330         2.6     0.00397       0.314       0.198    7.81e+05    2.09e+05
    60.000       0.155     250.900   4.475e+15         4.5         330        0.95     0.00173       0.715        0.15    7.81e+05    2.09e+05
    70.000        0.04     245.400   1.181e+15         3.3         330         0.5     0.00096        1.52        0.15    7.81e+05    2.09e+05
    80.000     0.00966     223.900   3.125e+14           2         328        0.13     0.00061        3.06        0.15    7.81e+05    2.09e+05
    90.000    0.002022     202.300   7.239e+13        0.85         310         0.8    0.000421        6.88        0.14     7.8e+05     1.9e+05
   100.000    0.000423     218.500   1.402e+13         0.4         195         0.4    0.000308        17.1        0.12    7.77e+05     1.6e+05
   110.000    0.000108     252.600   3.097e+12        0.28          60        0.05    0.000235        33.6       0.095     7.7e+05     1.2e+05
   120.000    3.59e-05     333.000   7.808e+11         0.2          35      0.0005    0.000185          50        0.03     7.6e+05    7.25e+04
