# atmos --saveVMR -z0[1]4[2]20[5]40[10]120 -fxy -o tropic_25.xy tropical_50.xy
#
#what:   z    pressure temperature         air         H2O         CO2          O3         N2O          CO         CH4          N2          O2
#units: km          mb           K     1/cm**3         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm
     0.000        1013     299.700   2.448e+19    2.59e+04         330      0.0287        0.32        0.15         1.7    7.81e+05    2.09e+05
     1.000         904     293.700   2.229e+19    1.95e+04         330      0.0315        0.32       0.145         1.7    7.81e+05    2.09e+05
     2.000         805     287.700   2.027e+19    1.53e+04         330      0.0334        0.32        0.14         1.7    7.81e+05    2.09e+05
     3.000         715     283.700   1.825e+19     8.6e+03         330       0.035        0.32       0.135         1.7    7.81e+05    2.09e+05
     4.000         633     277.000   1.655e+19    4.44e+03         330      0.0356        0.32       0.131         1.7    7.81e+05    2.09e+05
     6.000         492     263.600   1.352e+19     2.1e+03         330      0.0399        0.32       0.129         1.7    7.81e+05    2.09e+05
     8.000         378     250.300   1.094e+19         764         330      0.0447        0.32       0.118         1.7    7.81e+05    2.09e+05
    10.000         286     237.000    8.74e+18         191         330       0.056       0.318      0.0996        1.69    7.81e+05    2.09e+05
    12.000         213     223.600     6.9e+18        29.1         330      0.0781       0.309      0.0781        1.66    7.81e+05    2.09e+05
    14.000         156     210.300   5.373e+18        6.22         330       0.105         0.3      0.0503        1.63    7.81e+05    2.09e+05
    16.000         111     197.000   4.081e+18           3         330       0.144       0.288      0.0307        1.58    7.81e+05    2.09e+05
    18.000        78.9     198.800   2.875e+18        2.75         330         0.5       0.267      0.0197        1.52    7.81e+05    2.09e+05
    20.000        56.5     206.700    1.98e+18         2.6         330         1.4       0.237      0.0133        1.42    7.81e+05    2.09e+05
    25.000        25.7     221.400   8.408e+17        3.25         330         5.4       0.176      0.0152        1.06    7.81e+05    2.09e+05
    30.000        12.2     232.300   3.804e+17           4         330         9.3       0.142        0.02       0.914    7.81e+05    2.09e+05
    35.000           6     243.100   1.788e+17         4.6         330         9.7      0.0927      0.0249       0.746    7.81e+05    2.09e+05
    40.000        3.05     254.000   8.697e+16         5.2         330         7.5      0.0451       0.031       0.564    7.81e+05    2.09e+05
    50.000       0.854     270.200   2.289e+16           6         330         2.8     0.00475      0.0509        0.21    7.81e+05    2.09e+05
    60.000       0.239     253.100   6.839e+15           6         330         1.1     0.00206      0.0696        0.15    7.81e+05    2.09e+05
    70.000       0.058     218.900   1.919e+15         4.5         330         0.3     0.00115       0.194        0.15    7.81e+05    2.09e+05
    80.000       0.011     184.800   4.311e+14         2.1         328        0.33    0.000706        1.55        0.15    7.81e+05    2.09e+05
    90.000     0.00172     177.000   7.038e+13        0.85         310        0.52    0.000471        6.59        0.14     7.8e+05     1.9e+05
   100.000    0.000289     190.700   1.098e+13         0.4         195         0.4    0.000332        17.1        0.12    7.77e+05     1.6e+05
   110.000    6.47e-05     241.600    1.94e+12        0.28          60        0.05    0.000244        33.6       0.095     7.7e+05     1.2e+05
   120.000    2.25e-05     380.000   4.289e+11         0.2          35      0.0005    0.000185          50        0.03     7.6e+05    7.25e+04
