# atmos --saveVMR -z0[1]10[2]20[2.5]40[5]60[10]100 -fxy -o midLatSummer.xy ../50/midlatitudeSummer.xy
#
#what:   z    pressure temperature         air         H2O         CO2          O3         N2O          CO         CH4          N2          O2
#units: km          mb           K     1/cm**3         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm
     0.000        1013     294.200   2.494e+19   1.876e+04         330     0.03017        0.32        0.15         1.7    7.81e+05    2.09e+05
     1.000         902     289.700   2.255e+19   1.378e+04         330     0.03337        0.32       0.145         1.7    7.81e+05    2.09e+05
     2.000         802     285.200   2.037e+19        9680         330     0.03694        0.32      0.1399         1.7    7.81e+05    2.09e+05
     3.000         710     279.200   1.842e+19        5984         330     0.04222        0.32      0.1349         1.7    7.81e+05    2.09e+05
     4.000         628     273.200   1.665e+19        3813         330     0.04821        0.32      0.1312       1.697    7.81e+05    2.09e+05
     5.000         554     267.200   1.502e+19        2225         330     0.05512        0.32      0.1303       1.687    7.81e+05    2.09e+05
     6.000         487     261.200    1.35e+19        1510         330     0.06408        0.32      0.1288       1.672    7.81e+05    2.09e+05
     7.000         426     254.700   1.211e+19        1020         330     0.07764        0.32      0.1247       1.649    7.81e+05    2.09e+05
     8.000         372     248.200   1.086e+19       646.4         330     0.09126      0.3195      0.1185       1.629    7.81e+05    2.09e+05
     9.000         324     241.700   9.709e+18       412.9         330      0.1111      0.3163      0.1094       1.615    7.81e+05    2.09e+05
    10.000         281     235.300    8.65e+18       247.2         330      0.1304      0.3096     0.09962       1.579    7.81e+05    2.09e+05
    12.000         209     222.300    6.81e+18       29.44         330       0.223      0.2936     0.07814       1.508    7.81e+05    2.09e+05
    14.000         153     215.700   5.138e+18           5         330        0.44        0.28     0.05025       1.451    7.81e+05    2.09e+05
    16.000         111     215.700   3.727e+18         3.3         330         0.6      0.2611     0.03069        1.39    7.81e+05    2.09e+05
    18.000        81.2     216.800   2.713e+18        3.15         330           1      0.2174     0.01966       1.323    7.81e+05    2.09e+05
    20.000        59.5     219.200   1.966e+18         3.3         330           2      0.1607     0.01331       1.224    7.81e+05    2.09e+05
    22.500     40.5188     223.232   1.315e+18        51.4         330       3.209      0.1147     0.01261       1.016    7.81e+05    2.09e+05
    25.000        27.7     225.100   8.913e+17         4.2         330         4.8     0.08958     0.01521      0.7888    7.81e+05    2.09e+05
    27.500       19.07     228.450   6.046e+17        4.45         330           6     0.08006     0.01722      0.7046    7.81e+05    2.09e+05
    30.000        13.2     233.700   4.091e+17         4.7         330           7     0.06698     0.01995      0.6315    7.81e+05    2.09e+05
    32.500         9.3     239.000   2.818e+17        4.85         330         8.1     0.04958     0.02266      0.5592    7.81e+05    2.09e+05
    35.000        6.52     245.200   1.926e+17        4.95         330         8.9     0.03695     0.02487      0.5008    7.81e+05    2.09e+05
    37.500        4.64     251.300   1.337e+17           5         330         8.7     0.02519     0.02716      0.4453    7.81e+05    2.09e+05
    40.000        3.33     257.500   9.367e+16         5.1         330        7.55     0.01736     0.02962      0.3916    7.81e+05    2.09e+05
    45.000        1.76     269.900   4.723e+16        5.45         330         4.5    0.007665     0.03307      0.2873    7.81e+05    2.09e+05
    50.000       0.951     275.700   2.498e+16         5.5         330         2.8    0.003215     0.03645      0.1944    7.81e+05    2.09e+05
    55.000       0.515     269.300   1.385e+16        5.35         330         1.8     0.00203     0.03923      0.1574    7.81e+05    2.09e+05
    60.000       0.272     257.100   7.663e+15           5         330         1.3    0.001397     0.04673        0.15    7.81e+05    2.09e+05
    70.000       0.067     218.100   2.225e+15         3.7         330         0.4   0.0007772      0.1177        0.15    7.81e+05    2.09e+05
    80.000       0.012     174.100   4.992e+14         2.1         328         0.2   0.0005166      0.6815        0.15    7.81e+05    2.09e+05
    90.000     0.00164     165.000   7.199e+13        0.85         310        0.75   0.0003727       2.849        0.14     7.8e+05     1.9e+05
   100.000    0.000258     190.500   9.809e+12         0.4         195         0.4   0.0002844       10.08        0.12    7.77e+05     1.6e+05
