# atmos --saveVMR -z0[1]10[2]20[2.5]40[5]60[10]100 -fxy -o midLatWinter.xy ../50/midlatitudeWinter.xy
#
#what:   z    pressure temperature         air         H2O         CO2          O3         N2O          CO         CH4          N2          O2
#units: km          mb           K     1/cm**3         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm
     0.000        1018     272.200   2.709e+19        4316         330     0.02778        0.32        0.15         1.7    7.81e+05    2.09e+05
     1.000       897.3     268.700   2.419e+19        3454         330       0.028        0.32       0.145         1.7    7.81e+05    2.09e+05
     2.000       789.7     265.200   2.157e+19        2788         330     0.02849        0.32      0.1399         1.7    7.81e+05    2.09e+05
     3.000       693.8     261.700    1.92e+19        2088         330       0.032        0.32      0.1349         1.7    7.81e+05    2.09e+05
     4.000       608.1     255.700   1.723e+19        1280         330     0.03567        0.32      0.1312       1.697    7.81e+05    2.09e+05
     5.000       531.3     249.700   1.541e+19       824.1         330      0.0472        0.32      0.1303       1.687    7.81e+05    2.09e+05
     6.000       462.7     243.700   1.375e+19       510.3         330     0.05837        0.32      0.1288       1.672    7.81e+05    2.09e+05
     7.000       401.6     237.700   1.224e+19       232.1         330     0.07891        0.32      0.1247       1.649    7.81e+05    2.09e+05
     8.000       347.3     231.700   1.086e+19       107.7         330      0.1039      0.3195      0.1185       1.629    7.81e+05    2.09e+05
     9.000       299.3     225.700   9.605e+18       55.66         330      0.1567      0.3163      0.1094       1.615    7.81e+05    2.09e+05
    10.000       256.8     219.700   8.466e+18        29.6         330       0.237      0.3096     0.09962       1.579    7.81e+05    2.09e+05
    12.000       188.2     218.700   6.233e+18           6         330      0.5232      0.2936     0.07814       1.508    7.81e+05    2.09e+05
    14.000       137.8     217.700   4.585e+18         4.8         330         0.8        0.28     0.05025       1.451    7.81e+05    2.09e+05
    16.000       100.7     216.700   3.366e+18         4.6         330         1.1      0.2611     0.03069        1.39    7.81e+05    2.09e+05
    18.000        73.6     215.700   2.471e+18         4.5         330         1.8      0.2174     0.01966       1.323    7.81e+05    2.09e+05
    20.000        53.7     215.200   1.807e+18         4.5         330         2.9      0.1621     0.01331       1.224    7.81e+05    2.09e+05
    22.500     36.1619     214.756    1.22e+18       3.099         330       4.063      0.1245     0.01334       1.016    7.81e+05    2.09e+05
    25.000        24.4     215.200   8.212e+17        4.65         330         5.1     0.09661     0.01498      0.7931    7.81e+05    2.09e+05
    27.500       16.46     215.500   5.532e+17         4.7         330         5.6     0.08693     0.01598       0.713    7.81e+05    2.09e+05
    30.000        11.1     217.400   3.698e+17        4.75         330         6.1     0.07524      0.0171      0.6438    7.81e+05    2.09e+05
    32.500        7.56     220.400   2.484e+17         4.8         330         6.8     0.06126      0.0185      0.5746    7.81e+05    2.09e+05
    35.000        5.18     227.900   1.646e+17        4.85         330         7.1     0.05116     0.01997       0.505    7.81e+05    2.09e+05
    37.500         3.6     235.500   1.107e+17         4.9         330         7.2     0.03968     0.02147      0.4481    7.81e+05    2.09e+05
    40.000        2.53     243.200   7.535e+16        4.95         330         6.9     0.02995     0.02331      0.3931    7.81e+05    2.09e+05
    45.000        1.29     258.500   3.614e+16           5         330         4.6     0.01311     0.03057      0.2876    7.81e+05    2.09e+05
    50.000       0.683     265.700   1.862e+16        4.95         330        2.75    0.004164     0.06245      0.1944    7.81e+05    2.09e+05
    55.000       0.362     260.600   1.006e+16        4.85         330         1.7    0.002629       0.148      0.1574    7.81e+05    2.09e+05
    60.000       0.188     250.800   5.429e+15         4.5         330           1    0.001809      0.2926        0.15    7.81e+05    2.09e+05
    70.000       0.047     230.700   1.476e+15         3.3         330        0.32    0.001007       1.078        0.15    7.81e+05    2.09e+05
    80.000      0.0103     210.100   3.551e+14           2         328        0.23   0.0006333        2.96        0.15    7.81e+05    2.09e+05
    90.000     0.00198     199.500   7.189e+13        0.85         310         0.8   0.0004333       6.862        0.14     7.8e+05     1.9e+05
   100.000   0.0004074     218.600    1.35e+13         0.4         195         0.4    0.000314       17.09        0.12    7.77e+05     1.6e+05
