# atmos --saveVMR -z0[1]10[2]20[2.5]40[5]60[10]100 -fxy -o subArcSummer.xy ../50/subarcticSummer.xy
#
#what:   z    pressure temperature         air         H2O         CO2          O3         N2O          CO         CH4          N2          O2
#units: km          mb           K     1/cm**3         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm
     0.000        1010     287.200   2.547e+19   1.194e+04         330     0.02412        0.31        0.15         1.7    7.81e+05    2.09e+05
     1.000         896     281.700   2.304e+19        8701         330      0.0294        0.31       0.145         1.7    7.81e+05    2.09e+05
     2.000       792.9     276.300   2.079e+19        6750         330     0.03379        0.31      0.1399         1.7    7.81e+05    2.09e+05
     3.000         700     270.900   1.872e+19        4820         330     0.03887        0.31      0.1349         1.7    7.81e+05    2.09e+05
     4.000         616     265.500    1.68e+19        3380         330     0.04478      0.3079      0.1312       1.697    7.81e+05    2.09e+05
     5.000         541     260.100   1.507e+19        2218         330     0.05328      0.3024      0.1303       1.687    7.81e+05    2.09e+05
     6.000         474     253.100   1.356e+19        1330         330     0.06564      0.2906      0.1288       1.672    7.81e+05    2.09e+05
     7.000         413     246.100   1.215e+19       797.1         330     0.07738      0.2822      0.1247       1.649    7.81e+05    2.09e+05
     8.000         359     239.200   1.087e+19       399.6         330     0.09114      0.2759      0.1185       1.629    7.81e+05    2.09e+05
     9.000       310.8     232.200   9.695e+18         130         330       0.142      0.2703      0.1094       1.615    7.81e+05    2.09e+05
    10.000       267.7     225.200    8.61e+18        42.4         330       0.189      0.2651     0.09962       1.579    7.81e+05    2.09e+05
    12.000       197.7     225.200   6.358e+18           6         330        0.41      0.2549     0.07814       1.506    7.81e+05    2.09e+05
    14.000         146     225.200   4.696e+18           4         330         0.6      0.2433     0.05025       1.434    7.81e+05    2.09e+05
    16.000         108     225.200   3.474e+18           4         330        0.85      0.2282     0.03069       1.342    7.81e+05    2.09e+05
    18.000        79.8     225.200   2.567e+18         4.3         330         1.3      0.2035     0.01966        1.23    7.81e+05    2.09e+05
    20.000          59     225.200   1.898e+18         4.6         330         2.1      0.1567     0.01331       1.072    7.81e+05    2.09e+05
    22.500     40.3739     224.474   1.303e+18        16.4         330       3.493      0.1171      0.0123      0.8832    7.81e+05    2.09e+05
    25.000        27.8     228.100   8.827e+17         4.9         330         4.5     0.08775      0.0151      0.7477    7.81e+05    2.09e+05
    27.500       19.23     231.000    6.03e+17        4.95         330         5.3     0.07327     0.01649      0.6956    7.81e+05    2.09e+05
    30.000        13.4     235.100   4.128e+17           5         330         5.7     0.05941     0.01808      0.6442    7.81e+05    2.09e+05
    32.500         9.4     240.000   2.837e+17           5         330         6.9     0.04154     0.01997      0.5888    7.81e+05    2.09e+05
    35.000        6.61     247.200   1.937e+17           5         330         7.7     0.03032     0.02183       0.524    7.81e+05    2.09e+05
    37.500        4.72     254.600   1.343e+17           5         330         7.8     0.01949     0.02343      0.4506    7.81e+05    2.09e+05
    40.000         3.4     262.100   9.396e+16           5         330           7     0.01274     0.02496      0.3708    7.81e+05    2.09e+05
    45.000        1.82     273.600   4.818e+16           5         330         4.2    0.006286     0.02809      0.2445    7.81e+05    2.09e+05
    50.000       0.987     277.200   2.579e+16        4.95         330         2.5    0.002795      0.0322       0.166    7.81e+05    2.09e+05
    55.000       0.537     274.000    1.42e+16        4.85         330         1.7    0.001765      0.0365        0.15    7.81e+05    2.09e+05
    60.000       0.288     262.700   7.941e+15         4.5         330         1.2    0.001214     0.04589        0.15    7.81e+05    2.09e+05
    70.000       0.071     216.600   2.374e+15         3.3         330         0.4   0.0006756      0.1176        0.15    7.81e+05    2.09e+05
    80.000      0.0125     170.600   5.307e+14           2         328        0.18   0.0004649      0.7894        0.15    7.81e+05    2.09e+05
    90.000     0.00161     161.600   7.216e+13        0.85         310         0.9   0.0003459       3.402        0.14     7.8e+05     1.9e+05
   100.000    0.000248     190.400   9.434e+12         0.4         195         0.4   0.0002713       10.43        0.12    7.77e+05     1.6e+05
