# atmos --saveVMR -z0[1]10[2]20[2.5]40[5]60[10]100 -fxy -o subArcWinter.xy ../50/subarcticWinter.xy
#
#what:   z    pressure temperature         air         H2O         CO2          O3         N2O          CO         CH4          N2          O2
#units: km          mb           K     1/cm**3         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm
     0.000        1013     257.200   2.853e+19        1405         330     0.01802        0.32        0.15         1.7    7.81e+05    2.09e+05
     1.000       887.8     259.100   2.482e+19        1615         330     0.02072        0.32       0.145         1.7    7.81e+05    2.09e+05
     2.000       777.5     255.900   2.201e+19        1427         330     0.02336        0.32      0.1399         1.7    7.81e+05    2.09e+05
     3.000       679.8     252.700   1.948e+19        1166         330     0.02767        0.32      0.1349         1.7    7.81e+05    2.09e+05
     4.000       593.2     247.700   1.735e+19       789.8         330     0.03253        0.32      0.1312       1.697    7.81e+05    2.09e+05
     5.000       515.8     240.900   1.551e+19       430.9         330     0.03801        0.32      0.1303       1.687    7.81e+05    2.09e+05
     6.000       446.7     234.100   1.382e+19       236.9         330     0.04446        0.32      0.1288       1.672    7.81e+05    2.09e+05
     7.000       385.3     227.300   1.228e+19         147         330     0.07252        0.32      0.1247       1.649    7.81e+05    2.09e+05
     8.000       330.8     220.600   1.086e+19       33.84         330       0.104      0.3195      0.1185       1.629    7.81e+05    2.09e+05
     9.000       282.9     217.200   9.434e+18       29.76         330        0.21      0.3163      0.1094       1.615    7.81e+05    2.09e+05
    10.000       241.8     217.200   8.063e+18          20         330         0.3      0.3096     0.09962       1.579    7.81e+05    2.09e+05
    12.000       176.6     217.200   5.889e+18           6         330         0.4      0.2936     0.07814       1.506    7.81e+05    2.09e+05
    14.000       129.1     217.200   4.305e+18         4.5         330         0.9        0.28     0.05025       1.434    7.81e+05    2.09e+05
    16.000       94.31     216.600   3.154e+18         4.6         330         1.5      0.2611     0.03069       1.342    7.81e+05    2.09e+05
    18.000       68.82     215.400   2.314e+18         4.7         330        2.45      0.2174     0.01966        1.23    7.81e+05    2.09e+05
    20.000       50.14     214.200   1.695e+18         4.8         330         3.7      0.1621     0.01331       1.084    7.81e+05    2.09e+05
    22.500     33.6839     212.612   1.147e+18         4.9         330       4.328      0.1245     0.01326      0.9268    7.81e+05    2.09e+05
    25.000       22.56     211.200   7.737e+17           5         330         4.7      0.0957     0.01521      0.7961    7.81e+05    2.09e+05
    27.500       15.13     213.600    5.13e+17           5         330         4.9     0.08598     0.01722      0.7449    7.81e+05    2.09e+05
    30.000        10.2     216.000    3.42e+17           5         330         5.4     0.07314     0.02037      0.6941    7.81e+05    2.09e+05
    32.500        6.91     218.500   2.291e+17           5         330         5.9      0.0571     0.02486      0.6434    7.81e+05    2.09e+05
    35.000       4.701     222.300   1.532e+17           5         330         6.2      0.0467     0.03168      0.5883    7.81e+05    2.09e+05
    37.500        3.23     228.500   1.024e+17           5         330        6.25     0.03439     0.04429      0.5238    7.81e+05    2.09e+05
    40.000       2.243     234.700   6.922e+16           5         330         5.9     0.02471     0.06472      0.4505    7.81e+05    2.09e+05
    45.000       1.113     247.000   3.264e+16           5         330         4.1     0.01066      0.1507      0.3004    7.81e+05    2.09e+05
    50.000      0.5719     259.300   1.597e+16        4.95         330         2.6    0.003972      0.3141       0.198    7.81e+05    2.09e+05
    55.000       0.299     259.100   8.358e+15        4.85         330         1.6    0.002508      0.4842       0.159    7.81e+05    2.09e+05
    60.000       0.155     250.900   4.475e+15         4.5         330        0.95    0.001726      0.7147        0.15    7.81e+05    2.09e+05
    70.000        0.04     245.400   1.181e+15         3.3         330         0.5   0.0009602       1.516        0.15    7.81e+05    2.09e+05
    80.000     0.00966     223.900   3.125e+14           2         328        0.13   0.0006097        3.06        0.15    7.81e+05    2.09e+05
    90.000    0.002022     202.300   7.239e+13        0.85         310         0.8    0.000421       6.877        0.14     7.8e+05     1.9e+05
   100.000    0.000423     218.500   1.402e+13         0.4         195         0.4    0.000308        17.1        0.12    7.77e+05     1.6e+05
