# atmos --saveVMR -z0[1]10[2]20[2.5]40[5]60[10]100 -fxy -o tropic.xy ../50/tropical.xy
#
#what:   z    pressure temperature         air         H2O         CO2          O3         N2O          CO         CH4          N2          O2
#units: km          mb           K     1/cm**3         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm
     0.000        1013     299.700   2.448e+19   2.593e+04         330     0.02869        0.32        0.15         1.7    7.81e+05    2.09e+05
     1.000         904     293.700   2.229e+19   1.949e+04         330      0.0315        0.32       0.145         1.7    7.81e+05    2.09e+05
     2.000         805     287.700   2.027e+19   1.534e+04         330     0.03342        0.32      0.1399         1.7    7.81e+05    2.09e+05
     3.000         715     283.700   1.825e+19        8600         330     0.03504        0.32      0.1349         1.7    7.81e+05    2.09e+05
     4.000         633     277.000   1.655e+19        4441         330     0.03561        0.32      0.1312         1.7    7.81e+05    2.09e+05
     5.000         559     270.300   1.498e+19        3346         330     0.03767        0.32      0.1303         1.7    7.81e+05    2.09e+05
     6.000         492     263.600   1.352e+19        2101         330     0.03989        0.32      0.1288         1.7    7.81e+05    2.09e+05
     7.000         432     257.000   1.217e+19        1289         330     0.04223        0.32      0.1247       1.699    7.81e+05    2.09e+05
     8.000         378     250.300   1.094e+19       763.7         330     0.04471        0.32      0.1185       1.697    7.81e+05    2.09e+05
     9.000         329     243.600   9.782e+18       409.8         330        0.05      0.3195      0.1094       1.693    7.81e+05    2.09e+05
    10.000         286     237.000    8.74e+18       191.2         330     0.05595      0.3179     0.09962       1.685    7.81e+05    2.09e+05
    12.000         213     223.600     6.9e+18       29.05         330     0.07815      0.3095     0.07814       1.662    7.81e+05    2.09e+05
    14.000         156     210.300   5.373e+18        6.22         330       0.105      0.2999     0.05025       1.626    7.81e+05    2.09e+05
    16.000         111     197.000   4.081e+18           3         330      0.1444      0.2877     0.03069       1.582    7.81e+05    2.09e+05
    18.000        78.9     198.800   2.875e+18        2.75         330         0.5      0.2671     0.01966       1.521    7.81e+05    2.09e+05
    20.000        56.5     206.700    1.98e+18         2.6         330         1.4      0.2365     0.01331       1.424    7.81e+05    2.09e+05
    22.500     37.8925     216.366   1.268e+18      -5.175         330       2.853      0.2007     0.01296       1.229    7.81e+05    2.09e+05
    25.000        25.7     221.400   8.408e+17        3.25         330         5.4      0.1756     0.01521       1.055    7.81e+05    2.09e+05
    27.500       17.63     227.000   5.625e+17         3.6         330         7.8      0.1588     0.01722       0.987    7.81e+05    2.09e+05
    30.000        12.2     232.300   3.804e+17           4         330         9.3      0.1416     0.01995      0.9136    7.81e+05    2.09e+05
    32.500        8.52     237.700   2.596e+17         4.3         330        9.85      0.1165     0.02266        0.83    7.81e+05    2.09e+05
    35.000           6     243.100   1.788e+17         4.6         330         9.7     0.09275     0.02487       0.746    7.81e+05    2.09e+05
    37.500        4.26     248.500   1.242e+17         4.9         330         8.8     0.06693     0.02738      0.6618    7.81e+05    2.09e+05
    40.000        3.05     254.000   8.697e+16         5.2         330         7.5     0.04513     0.03098      0.5638    7.81e+05    2.09e+05
    45.000        1.59     264.800   4.349e+16         5.7         330         4.5     0.01591     0.03987      0.3631    7.81e+05    2.09e+05
    50.000       0.854     270.200   2.289e+16           6         330         2.8    0.004752     0.05092        0.21    7.81e+05    2.09e+05
    55.000       0.456     263.400   1.254e+16           6         330         1.8       0.003     0.05985      0.1651    7.81e+05    2.09e+05
    60.000       0.239     253.100   6.839e+15           6         330         1.1    0.002065      0.0696        0.15    7.81e+05    2.09e+05
    70.000       0.058     218.900   1.919e+15         4.5         330         0.3    0.001149      0.1938        0.15    7.81e+05    2.09e+05
    80.000       0.011     184.800   4.311e+14         2.1         328        0.33   0.0007056       1.549        0.15    7.81e+05    2.09e+05
    90.000     0.00172     177.000   7.038e+13        0.85         310        0.52   0.0004708        6.59        0.14     7.8e+05     1.9e+05
   100.000    0.000289     190.700   1.098e+13         0.4         195         0.4   0.0003323       17.05        0.12    7.77e+05     1.6e+05
