# glatm.dat
#where:  midlatitude winter  (AFGL Atmospheric Constituent Profiles)
#                                           molecular  concentrations 
#what:  z   pressure     temp    H2O        CO2        O3         N2O        CO         CH4        N2       O2
#units: km  g/(cm.s^2)     K     ppV        ppV        ppV        ppV        ppV        ppV        ppV      ppm
   0.00  1.0180E+06   272.20   4.316E-03  3.300E-04  2.778E-08  3.200E-07  1.500E-07  1.700E-06  0.781    2.090E+05
   1.00  8.9730E+05   268.70   3.454E-03  3.300E-04  2.800E-08  3.200E-07  1.450E-07  1.700E-06  0.781    2.090E+05
   2.00  7.8970E+05   265.20   2.788E-03  3.300E-04  2.849E-08  3.200E-07  1.399E-07  1.700E-06  0.781    2.090E+05
   3.00  6.9380E+05   261.70   2.088E-03  3.300E-04  3.200E-08  3.200E-07  1.349E-07  1.700E-06  0.781    2.090E+05
   4.00  6.0810E+05   255.70   1.280E-03  3.300E-04  3.567E-08  3.200E-07  1.312E-07  1.697E-06  0.781    2.090E+05
   5.00  5.3130E+05   249.70   8.241E-04  3.300E-04  4.720E-08  3.200E-07  1.303E-07  1.687E-06  0.781    2.090E+05
   6.00  4.6270E+05   243.70   5.103E-04  3.300E-04  5.837E-08  3.200E-07  1.288E-07  1.672E-06  0.781    2.090E+05
   7.00  4.0160E+05   237.70   2.321E-04  3.300E-04  7.891E-08  3.200E-07  1.247E-07  1.649E-06  0.781    2.090E+05
   8.00  3.4730E+05   231.70   1.077E-04  3.300E-04  1.039E-07  3.195E-07  1.185E-07  1.629E-06  0.781    2.090E+05
   9.00  2.9930E+05   225.70   5.566E-05  3.300E-04  1.567E-07  3.163E-07  1.094E-07  1.615E-06  0.781    2.090E+05
  10.00  2.5680E+05   219.70   2.960E-05  3.300E-04  2.370E-07  3.096E-07  9.962E-08  1.579E-06  0.781    2.090E+05
  11.00  2.1990E+05   219.20   1.000E-05  3.300E-04  3.624E-07  2.989E-07  8.964E-08  1.542E-06  0.781    2.090E+05
  12.00  1.8820E+05   218.70   6.000E-06  3.300E-04  5.232E-07  2.936E-07  7.814E-08  1.508E-06  0.781    2.090E+05
  13.00  1.6110E+05   218.20   5.000E-06  3.300E-04  7.036E-07  2.860E-07  6.374E-08  1.479E-06  0.781    2.090E+05
  14.00  1.3780E+05   217.70   4.800E-06  3.300E-04  8.000E-07  2.800E-07  5.025E-08  1.451E-06  0.781    2.090E+05
  15.00  1.1780E+05   217.20   4.700E-06  3.300E-04  9.000E-07  2.724E-07  3.941E-08  1.422E-06  0.781    2.090E+05
  16.00  1.0070E+05   216.70   4.600E-06  3.300E-04  1.100E-06  2.611E-07  3.069E-08  1.390E-06  0.781    2.090E+05
  17.00  8.6100E+04   216.20   4.500E-06  3.300E-04  1.400E-06  2.421E-07  2.489E-08  1.356E-06  0.781    2.090E+05
  18.00  7.3600E+04   215.70   4.500E-06  3.300E-04  1.800E-06  2.174E-07  1.966E-08  1.323E-06  0.781    2.090E+05
  19.00  6.2800E+04   215.20   4.500E-06  3.300E-04  2.300E-06  1.843E-07  1.549E-08  1.281E-06  0.781    2.090E+05
  20.00  5.3700E+04   215.20   4.500E-06  3.300E-04  2.900E-06  1.621E-07  1.331E-08  1.224E-06  0.781    2.090E+05
  21.00  4.5800E+04   215.20   4.500E-06  3.300E-04  3.500E-06  1.362E-07  1.232E-08  1.154E-06  0.781    2.090E+05
  22.00  3.9100E+04   215.20   4.530E-06  3.300E-04  3.900E-06  1.230E-07  1.232E-08  1.066E-06  0.781    2.090E+05
  23.00  3.3400E+04   215.20   4.550E-06  3.300E-04  4.300E-06  1.124E-07  1.307E-08  9.730E-07  0.781    2.090E+05
  24.00  2.8600E+04   215.20   4.600E-06  3.300E-04  4.700E-06  1.048E-07  1.400E-08  8.800E-07  0.781    2.090E+05
  25.00  2.4400E+04   215.20   4.650E-06  3.300E-04  5.100E-06  9.661E-08  1.498E-08  7.931E-07  0.781    2.090E+05
  27.50  1.6460E+04   215.50   4.700E-06  3.300E-04  5.600E-06  8.693E-08  1.598E-08  7.130E-07  0.781    2.090E+05
  30.00  1.1100E+04   217.40   4.750E-06  3.300E-04  6.100E-06  7.524E-08  1.710E-08  6.438E-07  0.781    2.090E+05
  32.50   7560.       220.40   4.800E-06  3.300E-04  6.800E-06  6.126E-08  1.850E-08  5.746E-07  0.781    2.090E+05
  35.00   5180.       227.90   4.850E-06  3.300E-04  7.100E-06  5.116E-08  1.997E-08  5.050E-07  0.781    2.090E+05
  37.50   3600.       235.50   4.900E-06  3.300E-04  7.200E-06  3.968E-08  2.147E-08  4.481E-07  0.781    2.090E+05
  40.00   2530.       243.20   4.950E-06  3.300E-04  6.900E-06  2.995E-08  2.331E-08  3.931E-07  0.781    2.090E+05
  42.50   1800.       250.80   5.000E-06  3.300E-04  5.900E-06  2.080E-08  2.622E-08  3.395E-07  0.781    2.090E+05
  45.00   1290.       258.50   5.000E-06  3.300E-04  4.600E-06  1.311E-08  3.057E-08  2.876E-07  0.781    2.090E+05
  47.50   940.0       265.10   5.000E-06  3.300E-04  3.700E-06  8.071E-09  3.803E-08  2.386E-07  0.781    2.090E+05
  50.00   683.0       265.70   4.950E-06  3.300E-04  2.750E-06  4.164E-09  6.245E-08  1.944E-07  0.781    2.090E+05
  55.00   362.0       260.60   4.850E-06  3.300E-04  1.700E-06  2.629E-09  1.480E-07  1.574E-07  0.781    2.090E+05
  60.00   188.0       250.80   4.500E-06  3.300E-04  1.000E-06  1.809E-09  2.926E-07  1.500E-07  0.781    2.090E+05
  65.00   95.00       240.90   4.000E-06  3.300E-04  5.500E-07  1.321E-09  5.586E-07  1.500E-07  0.781    2.090E+05
  70.00   47.00       230.70   3.300E-06  3.300E-04  3.200E-07  1.007E-09  1.078E-06  1.500E-07  0.781    2.090E+05
  75.00   22.20       220.40   2.700E-06  3.300E-04  2.500E-07  7.883E-10  1.897E-06  1.500E-07  0.781    2.090E+05
  80.00   10.30       210.10   2.000E-06  3.280E-04  2.300E-07  6.333E-10  2.960E-06  1.500E-07  0.781    2.090E+05
  85.00   4.560       199.80   1.330E-06  3.200E-04  5.500E-07  5.194E-10  4.526E-06  1.500E-07  0.781    2.000E+05
  90.00   1.980       199.50   8.500E-07  3.100E-04  8.000E-07  4.333E-10  6.862E-06  1.400E-07  0.780    1.900E+05
  95.00  0.8770       208.30   5.400E-07  2.700E-04  8.000E-07  3.666E-10  1.054E-05  1.300E-07  0.779    1.800E+05
 100.00  0.4074       218.60   4.000E-07  1.950E-04  4.000E-07  3.140E-10  1.709E-05  1.200E-07  0.777    1.600E+05
 105.00  0.2000       237.10   3.400E-07  1.100E-04  2.000E-07  2.717E-10  2.473E-05  1.100E-07  0.774    1.400E+05
 110.00  0.1057       259.50   2.800E-07  6.000E-05  5.000E-08  2.373E-10  3.359E-05  9.500E-08  0.770    1.200E+05
 115.00  5.9800E-02   293.00   2.400E-07  4.000E-05  5.000E-09  2.089E-10  4.149E-05  6.000E-08  0.765    9.400E+04
 120.00  3.6000E-02   333.00   2.000E-07  3.500E-05  5.000E-10  1.851E-10  5.000E-05  3.000E-08  0.760    7.250E+04
#
# vertical_columns:   calculating molecular amount for z>   0.000   given  50 path grid points   0.0 to 120.0    quad routine: T
# column density  (cm-2)     sum gases  H2O       CO2       O3        N2O       CO        CH4       N2        
#                            2.167E+25  2.891E+22 7.151E+21 1.020E+19 6.470E+18 2.426E+18 3.447E+19 1.692E+25
