#where:  subarctic summer  (AFGL Atmospheric Constituent Profiles)
#                                           molecular  concentrations 
#what:   z    pressure  temp     H2O        CO2        O3         N2O        CO         CH4        N2       O2
#units: km  g/(cm.s^2)     K     ppV        ppV        ppV        ppV        ppV        ppV        ppV      ppm
   0.00  1.0100E+06   287.20   1.194E-02  3.300E-04  2.412E-08  3.100E-07  1.500E-07  1.700E-06  0.781    2.090E+05
   1.00  8.9600E+05   281.70   8.701E-03  3.300E-04  2.940E-08  3.100E-07  1.450E-07  1.700E-06  0.781    2.090E+05
   2.00  7.9290E+05   276.30   6.750E-03  3.300E-04  3.379E-08  3.100E-07  1.399E-07  1.700E-06  0.781    2.090E+05
   3.00  7.0000E+05   270.90   4.820E-03  3.300E-04  3.887E-08  3.100E-07  1.349E-07  1.700E-06  0.781    2.090E+05
   4.00  6.1600E+05   265.50   3.380E-03  3.300E-04  4.478E-08  3.079E-07  1.312E-07  1.697E-06  0.781    2.090E+05
   5.00  5.4100E+05   260.10   2.218E-03  3.300E-04  5.328E-08  3.024E-07  1.303E-07  1.687E-06  0.781    2.090E+05
   6.00  4.7400E+05   253.10   1.330E-03  3.300E-04  6.564E-08  2.906E-07  1.288E-07  1.672E-06  0.781    2.090E+05
   7.00  4.1300E+05   246.10   7.971E-04  3.300E-04  7.738E-08  2.822E-07  1.247E-07  1.649E-06  0.781    2.090E+05
   8.00  3.5900E+05   239.20   3.996E-04  3.300E-04  9.114E-08  2.759E-07  1.185E-07  1.629E-06  0.781    2.090E+05
   9.00  3.1080E+05   232.20   1.300E-04  3.300E-04  1.420E-07  2.703E-07  1.094E-07  1.615E-06  0.781    2.090E+05
  10.00  2.6770E+05   225.20   4.240E-05  3.300E-04  1.890E-07  2.651E-07  9.962E-08  1.579E-06  0.781    2.090E+05
  11.00  2.3000E+05   225.20   1.330E-05  3.300E-04  3.050E-07  2.600E-07  8.964E-08  1.542E-06  0.781    2.090E+05
  12.00  1.9770E+05   225.20   6.000E-06  3.300E-04  4.100E-07  2.549E-07  7.814E-08  1.506E-06  0.781    2.090E+05
  13.00  1.7000E+05   225.20   4.450E-06  3.300E-04  5.000E-07  2.494E-07  6.374E-08  1.471E-06  0.781    2.090E+05
  14.00  1.4600E+05   225.20   4.000E-06  3.300E-04  6.000E-07  2.433E-07  5.025E-08  1.434E-06  0.781    2.090E+05
  15.00  1.2600E+05   225.20   4.000E-06  3.300E-04  7.000E-07  2.355E-07  3.941E-08  1.389E-06  0.781    2.090E+05
  16.00  1.0800E+05   225.20   4.000E-06  3.300E-04  8.500E-07  2.282E-07  3.069E-08  1.342E-06  0.781    2.090E+05
  17.00  9.2800E+04   225.20   4.050E-06  3.300E-04  1.000E-06  2.179E-07  2.489E-08  1.290E-06  0.781    2.090E+05
  18.00  7.9800E+04   225.20   4.300E-06  3.300E-04  1.300E-06  2.035E-07  1.966E-08  1.230E-06  0.781    2.090E+05
  19.00  6.8600E+04   225.20   4.500E-06  3.300E-04  1.700E-06  1.817E-07  1.549E-08  1.157E-06  0.781    2.090E+05
  20.00  5.9000E+04   225.20   4.600E-06  3.300E-04  2.100E-06  1.567E-07  1.331E-08  1.072E-06  0.781    2.090E+05
  21.00  5.0700E+04   225.20   4.700E-06  3.300E-04  2.700E-06  1.350E-07  1.232E-08  9.903E-07  0.781    2.090E+05
  22.00  4.3600E+04   225.20   4.800E-06  3.300E-04  3.300E-06  1.218E-07  1.232E-08  9.170E-07  0.781    2.090E+05
  23.00  3.7500E+04   225.20   4.830E-06  3.300E-04  3.700E-06  1.102E-07  1.307E-08  8.574E-07  0.781    2.090E+05
  24.00  3.2280E+04   226.60   4.850E-06  3.300E-04  4.200E-06  9.893E-08  1.400E-08  8.013E-07  0.781    2.090E+05
  25.00  2.7800E+04   228.10   4.900E-06  3.300E-04  4.500E-06  8.775E-08  1.510E-08  7.477E-07  0.781    2.090E+05
  27.50  1.9230E+04   231.00   4.950E-06  3.300E-04  5.300E-06  7.327E-08  1.649E-08  6.956E-07  0.781    2.090E+05
  30.00  1.3400E+04   235.10   5.000E-06  3.300E-04  5.700E-06  5.941E-08  1.808E-08  6.442E-07  0.781    2.090E+05
  32.50   9400.       240.00   5.000E-06  3.300E-04  6.900E-06  4.154E-08  1.997E-08  5.888E-07  0.781    2.090E+05
  35.00   6610.       247.20   5.000E-06  3.300E-04  7.700E-06  3.032E-08  2.183E-08  5.240E-07  0.781    2.090E+05
  37.50   4720.       254.60   5.000E-06  3.300E-04  7.800E-06  1.949E-08  2.343E-08  4.506E-07  0.781    2.090E+05
  40.00   3400.       262.10   5.000E-06  3.300E-04  7.000E-06  1.274E-08  2.496E-08  3.708E-07  0.781    2.090E+05
  42.50   2480.       269.50   5.000E-06  3.300E-04  5.400E-06  9.001E-09  2.647E-08  2.992E-07  0.781    2.090E+05
  45.00   1820.       273.60   5.000E-06  3.300E-04  4.200E-06  6.286E-09  2.809E-08  2.445E-07  0.781    2.090E+05
  47.50   1340.       276.20   5.000E-06  3.300E-04  3.200E-06  4.558E-09  2.999E-08  2.000E-07  0.781    2.090E+05
  50.00   987.0       277.20   4.950E-06  3.300E-04  2.500E-06  2.795E-09  3.220E-08  1.660E-07  0.781    2.090E+05
  55.00   537.0       274.00   4.850E-06  3.300E-04  1.700E-06  1.765E-09  3.650E-08  1.500E-07  0.781    2.090E+05
  60.00   288.0       262.70   4.500E-06  3.300E-04  1.200E-06  1.214E-09  4.589E-08  1.500E-07  0.781    2.090E+05
  65.00   147.0       239.70   4.000E-06  3.300E-04  8.000E-07  8.866E-10  6.375E-08  1.500E-07  0.781    2.090E+05
  70.00   71.00       216.60   3.300E-06  3.300E-04  4.000E-07  6.756E-10  1.176E-07  1.500E-07  0.781    2.090E+05
  75.00   32.00       193.60   2.700E-06  3.300E-04  2.000E-07  5.538E-10  3.033E-07  1.500E-07  0.781    2.090E+05
  80.00   12.50       170.60   2.000E-06  3.280E-04  1.800E-07  4.649E-10  7.894E-07  1.500E-07  0.781    2.090E+05
  85.00   4.510       161.70   1.330E-06  3.200E-04  6.500E-07  3.979E-10  1.823E-06  1.500E-07  0.781    2.000E+05
  90.00   1.610       161.60   8.500E-07  3.100E-04  9.000E-07  3.459E-10  3.402E-06  1.400E-07  0.780    1.900E+05
  95.00  0.6060       176.80   5.400E-07  2.700E-04  8.000E-07  3.047E-10  5.916E-06  1.300E-07  0.779    1.800E+05
 100.00  0.2480       190.40   4.000E-07  1.950E-04  4.000E-07  2.713E-10  1.043E-05  1.200E-07  0.777    1.600E+05
 105.00  0.1130       226.00   3.400E-07  1.100E-04  2.000E-07  2.439E-10  1.881E-05  1.100E-07  0.774    1.400E+05
 110.00  6.0000E-02   270.10   2.800E-07  6.000E-05  5.000E-08  2.210E-10  2.869E-05  9.500E-08  0.770    1.200E+05
 115.00  3.5400E-02   322.70   2.400E-07  4.000E-05  5.000E-09  2.017E-10  3.892E-05  6.000E-08  0.765    9.400E+04
 120.00  2.2600E-02   380.00   2.000E-07  3.500E-05  5.000E-10  1.851E-10  5.000E-05  3.000E-08  0.760    7.250E+04
#
# vertical_columns:   calculating molecular amount for z>   0.000   given  50 path grid points   0.0 to 120.0    quad routine: T
# column density  (cm-2)     sum gases  H2O       CO2       O3        N2O       CO        CH4       N2        
#                            2.149E+25  7.072E+22 7.091E+21 9.371E+18 5.900E+18 2.372E+18 3.379E+19 1.678E+25
