# atmos --saveVMR -z0[0.5]20[1]50 -fxy -o USstandard_500m.XY USstandard_50.xy
#
#what:   z    pressure temperature         air         H2O         CO2          O3         N2O          CO         CH4          O2          NO         SO2         NO2         NH3        HNO3          OH          HF         HCl         HBr          HI         ClO         OCS        H2CO        HOCl          N2         HCN       CH3Cl        H2O2        C2H2        C2H6         PH3         HO2
#units: km          mb           K     1/cm**3         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm
     0.000        1013     288.200   2.548e+19    7.74e+03         330      0.0266        0.32        0.15         1.7    2.09e+05      0.0003      0.0003     2.3e-05      0.0005       5e-05     4.4e-08       1e-08       0.001     1.7e-06       3e-06       1e-08      0.0006      0.0024     7.7e-06    7.81e+05     0.00017      0.0007      0.0002      0.0003       0.002       1e-14       4e-05
     0.500     954.193     284.950   2.428e+19    6.91e+03         330       0.028        0.32       0.147         1.7    2.09e+05      0.0003    0.000287     2.3e-05      0.0005    5.48e-05     4.4e-08       1e-08    0.000875     1.7e-06       3e-06       1e-08    0.000595     0.00173    9.15e-06    7.81e+05    0.000167    0.000685    0.000197    0.000236       0.002       1e-14    3.45e-05
     1.000       898.8     281.700   2.313e+19    6.07e+03         330      0.0293        0.32       0.145         1.7    2.09e+05      0.0003    0.000274     2.3e-05      0.0005    5.96e-05     4.4e-08       1e-08    0.000749     1.7e-06       3e-06       1e-08     0.00059     0.00107    1.06e-05    7.81e+05    0.000165     0.00067    0.000195    0.000172       0.002       1e-14     2.9e-05
     1.500     845.308     278.450   2.201e+19    5.35e+03         330      0.0308        0.32       0.142         1.7    2.09e+05      0.0003    0.000255     2.3e-05    0.000481    6.45e-05     4.4e-08    1.12e-08    0.000655     1.7e-06       3e-06       1e-08    0.000585    0.000737    1.14e-05    7.81e+05    0.000164    0.000657    0.000193    0.000134       0.002       1e-14    2.45e-05
     2.000         795     275.200   2.094e+19    4.63e+03         330      0.0324        0.32        0.14         1.7    2.09e+05      0.0003    0.000236     2.3e-05    0.000463    6.93e-05     4.4e-08    1.23e-08    0.000561     1.7e-06       3e-06       1e-08     0.00058    0.000404    1.22e-05    7.81e+05    0.000163    0.000643    0.000192    9.57e-05       0.002       1e-14       2e-05
     2.500     746.628     271.950    1.99e+19    3.91e+03         330      0.0328        0.32       0.138         1.7    2.09e+05      0.0003    0.000213     2.3e-05    0.000421    7.42e-05     4.4e-08     1.6e-08    0.000491     1.7e-06       3e-06       1e-08    0.000575    0.000316    1.18e-05    7.81e+05    0.000162    0.000633    0.000191    8.16e-05       0.002       1e-14    1.75e-05
     3.000       701.2     268.700   1.891e+19    3.18e+03         330      0.0332        0.32       0.135         1.7    2.09e+05      0.0003     0.00019     2.3e-05     0.00038    7.91e-05     4.4e-08    1.97e-08    0.000422     1.7e-06       3e-06       1e-08     0.00057    0.000227    1.14e-05    7.81e+05    0.000161    0.000622    0.000189    6.74e-05       0.002       1e-14     1.5e-05
     3.500     657.541     265.450   1.795e+19    2.67e+03         330      0.0335        0.32       0.133         1.7    2.09e+05      0.0003    0.000168     2.3e-05    0.000334    8.39e-05     4.4e-08    2.57e-08    0.000371     1.7e-06       3e-06       1e-08    0.000566    0.000183    1.06e-05    7.81e+05     0.00016    0.000614    0.000187     5.9e-05     0.00199       1e-14    1.25e-05
     4.000       616.6     262.200   1.704e+19    2.16e+03         330      0.0339        0.32       0.131         1.7    2.09e+05      0.0003    0.000146     2.3e-05    0.000288    8.87e-05     4.4e-08    3.18e-08    0.000319     1.7e-06       3e-06       1e-08    0.000562     0.00014     9.8e-06    7.81e+05     0.00016    0.000607    0.000184    5.07e-05     0.00198       1e-14       1e-05
     4.500     577.297     258.950   1.616e+19    1.78e+03         330      0.0358        0.32       0.131         1.7    2.09e+05      0.0003    0.000132     2.3e-05    0.000246    9.31e-05     4.4e-08    4.41e-08    0.000279     1.7e-06       3e-06       1e-08    0.000558     0.00012    8.91e-06    7.81e+05     0.00016    0.000604     0.00018    4.53e-05     0.00196       1e-14    8.75e-06
     5.000       540.5     255.700   1.532e+19     1.4e+03         330      0.0377        0.32        0.13         1.7    2.09e+05      0.0003    0.000118     2.3e-05    0.000204    9.75e-05     4.4e-08    5.63e-08    0.000239     1.7e-06       3e-06       1e-08    0.000555      0.0001    8.01e-06    7.81e+05     0.00016    0.000602    0.000177    3.99e-05     0.00195       1e-14     7.5e-06
     5.500     505.197     252.450    1.45e+19    1.16e+03         330      0.0394        0.32       0.129         1.7    2.09e+05      0.0003    0.000108     2.3e-05    0.000175    0.000104     4.4e-08    7.41e-08    0.000209     1.7e-06       3e-06       1e-08    0.000552    8.72e-05    7.21e-06    7.81e+05     0.00016    0.000601    0.000171    3.59e-05     0.00192       1e-14    5.95e-06
     6.000       472.2     249.200   1.373e+19         925         330      0.0411        0.32       0.129         1.7    2.09e+05      0.0003    9.71e-05     2.3e-05    0.000146    0.000111     4.4e-08    9.18e-08    0.000179     1.7e-06       3e-06       1e-08    0.000548    7.44e-05    6.42e-06    7.81e+05     0.00016      0.0006    0.000166    3.19e-05      0.0019       1e-14     4.4e-06
     6.500     440.592     245.950   1.298e+19         748         330      0.0456        0.32       0.127         1.7    2.09e+05      0.0003       9e-05     2.3e-05    0.000122    0.000119    4.41e-08    1.22e-07    0.000155     1.7e-06       3e-06       1e-08    0.000544    6.74e-05    5.92e-06    7.81e+05     0.00016      0.0006    0.000157       3e-05     0.00187       1e-14     3.5e-06
     7.000       411.1     242.700   1.228e+19         572         330      0.0501        0.32       0.125         1.7    2.09e+05      0.0003     8.3e-05     2.3e-05    9.88e-05    0.000126    4.41e-08    1.53e-07    0.000132     1.7e-06       3e-06       1e-08     0.00054    6.04e-05    5.42e-06    7.81e+05     0.00016      0.0006    0.000149     2.8e-05     0.00185       1e-14     2.6e-06
     7.500     382.828     239.450   1.159e+19         469         330      0.0549        0.32       0.122         1.7    2.09e+05      0.0003    7.75e-05     2.3e-05    8.18e-05    0.000132    4.43e-08    1.97e-07    0.000116     1.7e-06       3e-06    1.01e-08    0.000536    5.52e-05    5.06e-06    7.81e+05     0.00016    0.000599    0.000136    2.67e-05     0.00182       1e-14     2.1e-06
